3:18:001:1	Na'ageh ts'ídá doo bee haz'ą́ą da
3:18:001:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní, 
3:18:002:0	Ízrel dine'é bich'į' handziihgo kóbidiní, Shí Bóhólníihii nihiDiyin God nishłį́. 
3:18:003:0	Ííjip kéyah hoolyéedi kéédahoht'į́į́ nít'éé' yę́ęgi Ííjip dine'é ádaat'ínígíí t'áadoo bik'ehgo ádaaht'íní; Kéínan kéyah biih nihideesh'ishídi dadine'é ádaat'ínígíí ałdó' t'áadoo bik'ehgo ádaaht'íní, doodaii' bibik'eh hoogáałii t'áadoo bik'ehgo deínóhkáhí. 
3:18:004:0	Bee nihodiish'aahii bik'eh ádanoht'é, índa shibik'eh hoogáałii bik'ehgo deínóhkááh. Shí Bóhólníihii nihiDiyin God nishłį́. 
3:18:005:0	Éí bąą bee nihodiyé'áanii áádóó bee nihodiish'aahii bik'ehgo ádanoht'é; éí diné yik'eh ááníiłgo yee hiná. Shí Bóhólníihii nishłį́. 
3:18:006:0	Nihí ła'da áhánígo nihik'éí nilíinii doo t'áá łichí'ígo bik'idi'dííłtsos da biniyé baa dooháał da, háálá shí Bóhólníihii nishłį́. 
3:18:007:0	Nizhé'é doo t'áá łichí'ígo bik'idi'dííłtsos da, doodaii' nimá doo t'áá łichí'ígo ádíílíił da; éí nimá nilį́; ts'ídá doo t'áá łichí'ígo ádíílíił da. 
3:18:008:0	Nizhé'é be'asdzą́ą́ doo t'áá łichí'ígo ádíílíił da, háálá nizhé'é t'áá łichí'ígo íinilaago át'é. 
3:18:009:0	Nizhé'é bitsi'go, doodaii' nimá bich'é'égo éí t'áá hooghandi bi'dizhchį́įgo, doodaii' háadida bi'dizhchį́įgo éí nilah nilį́įgo doo t'áá łichí'ígo ádíílíił da. 
3:18:010:0	Niye' bitsi', doodaii' nitsi' bich'é'é éí doo t'áá łichí'ígo ádíílíił da, háálá t'áá jilchí'ígo éí t'áá ni łiníchí'ígo í'diinilyaago át'é. 
3:18:011:0	Nizhé'é be'asdzą́ą́ bich'é'é doo t'áá łichí'ígo ádíílíił da; éí nizhé'é bá yizhchį́įgo nilah nilį́; t'ááká t'áá łichí'ígo áwóólééh lágo. 
3:18:012:0	Nizhé'é bilah doo t'áá łichí'ígo ádíílíił da; éí nizhé'é áhánígo bik'éí nilį́. 
3:18:013:0	Nimá bideezhí doo t'áá łichí'ígo ádíílíił da, háálá éí nimá áhánígo bik'éí nilį́. 
3:18:014:0	Nizhé'é bik'is doo t'áá łichí'ígo ádíílíił da; be'asdzą́ą́ doo baa nídíít'įįł da; éí nimá yázhí nilį́. 
3:18:015:0	Nizháá'áád doo t'áá łichí'ígo ádíílíił da; éí niye' be'asdzą́ą́ nilį́; éí t'ááká t'áá łichí'ígo áwóólééh lágo. 
3:18:016:0	Nik'is be'asdzą́ą́ doo t'áá łichí'ígo ádíílíił da; éí nik'is t'áá łichí'ígo íinilaago át'é. 
