19:60:001:1	Psalm . lx .
19:60:002:1	¶ Deus repulistinos .
19:60:001:0	DEw , tafleist nyni allan , goyscereist ni , soreist : dadymchwel atam .
19:60:002:0	Dychryneist y ddaiar , gwnaethost’ yddi agori : iacha ei brwiae , can ys escut wyt .
19:60:003:0	Ys dangoseist ith popul pethae caledion : gwnaeth y ni yved gwin madrondot .
19:60:004:0	[ Ac yr owhon] y rroddeist benwn ir ei ath ofnant , val derchaver o bleit [ dy] , wirionedd . Sélah .
19:60:005:0	Mal y gwareder dy garedigion , cymporth ath ddeheulāw , a’ gwrandaw vi .
19:60:006:0	Dew a lavarawdd yn ei santeiddrwydd : [ am hynny] y llawenáf , mi barthaf Sechem , a’ mesuraf ddyffryn Succoth .
19:60:007:0	Y mi y [ bydd] , Gilead , ac y mi [ byð] Manasseh : Ephraim hefyt vydd nerth vy-pen , Iudáh [ yw] vy-deddfwr .
19:60:008:0	Moab [ vyð] vy-golch-lestr , ar Edom y tavlaf vy escit : Palestina ymlawenha am danaf .
19:60:009:0	Pwy am tywys ir dinas cadarn ? pwy am arwein yd yn Edom ?
19:60:010:0	Any tydi Ddew , [ rhwn] an tavlasyt ymaith , ac nid aethost’ allan , â Ddew , y gyd a’n lluoedd ?
19:60:011:0	Dyred a phorth y ni rhac ein cyfingder : can ys gwag yw ymwared dyn .
19:60:012:0	Trwy Ddew y gwnawn wroldep : can ys ef e a sathyr ein gelynion .
