40:6:001:1	Jesus éí hojooba' ádaat'éii bíká aná'ájahgi yína'niłtin
40:6:001:0	T'óó diné yee danihiníł'į́į doo biniyé diné binááł jooba' bee ádaahníłígíí bits'ąą ádaa ádahołyą́ ; ákódaaht'į́įgo nihiTaa' yá'ąąshdi hólóonii nihaidooléełii ádin doo .
40:6:002:0	Éí bąą hojooba' ádaat'éii bíká ánánílwo'go diné t'óó áhodil'íinii ádaat'ínígi át'éego dilní t'áadoo ádílą́ąjį' diniłts'a'í . Éí kin bii' áłah nída'adleehgóó índa kintaa aztiingóó diné t'óó baa dahaniih doo biniyé ádaat'į́ . T'áá aaníígóó ánihidishní , Éí hach'į' nidadoolyéełii t'áá íídą́ą́' hwee dahazlį́į́' .
40:6:003:0	Nidi níla' nish'náájí bee hojooba' ádaat'éii bíká anánílwo'go níla' nishtł'ajíígíí éí t'áadoo bił bééhóziní íínísin .
40:6:002:1	Jesus sodizin yína'niłtin
40:6:004:0	Áko áká anánílwo'go t'áadoo yi'niihí baa naniná , áko niTaa' t'áadoo yi'niihí ááníiłii yoo'íinii , éí na'doolééł .
40:6:005:0	Áádóó diné t'óó ádahodil'į́įgo sodadilzinígi át'éego t'áadoo sodílziní , háálá éí diné danihiníł'į́į doo , danízingo kin bii' áłah nída'adleehgóó índa kintahgi naańda'aztiingóó naazį́įgo sodadilzingo bił dahoneełni . T'áá aaníí ánihidishní , Éí hach'į' nidadoolyéełii t'áá íídą́ą́' hwee dahazlį́į́' .
40:6:006:0	Nidi sodílzingo doo naagháhí góne' yah anáńdáahgo ádáńdílkałgo niTaa' doo yit'į́į́góó hólóonii bich'į' sodílzin , áko niTaa' t'áadoo yi'niihí ááníiłii yoo'íinii , éí na'doolééł .
40:6:007:0	Áádóó sodadołzingo , doo Jew dine'é danilíinii ádaat'ínígi át'éego saad t'áadoo biniyéhí daígíí t'áadoo háádahołt'éhí , háálá ákót'éego saad lą'í bee haasdzíi'go shá dazdidoots'į́į́ł danízin .
40:6:008:0	Éí bąągo t'áadoo éigi ádanoht'éhí , háálá bídin danohłį́įgo chodaoł'ínígíí nihiTaa' bídeínóhkeed dooígíí t'áá íídą́ą́' bił bééhózin .
40:6:009:0	Kót'éego sodadołzin : NihiTaa' yá'ąąshdi honílóonii , nízhi' diyingo óolzin le' ,
40:6:010:0	Bee nóhólníihii náásgóó k'ee'ąą yilzhish le' . Áádóó bee íinínízinii t'áá yá'ąąshdi ááníłígi át'éegonahasdzáán bikáa'gi ááníił le' .
40:6:011:0	Ch'iyáán t'áá ákwíí jį́ niha'iyíłtsódígíí díí jį́ nihaa náádiní'aah .
40:6:012:0	Áádóó t'áá nihich'į' bąąhági ádaaníiłii bá yóó'adahidiit'aahígi át'éego nich'į' nida'ayiilzíhígíí nihá yóó'ahidí'aah .
40:6:013:0	Áádóó nihí hodínóotahjį' nihi'óółnííh lágo , nidi bąąhági át'éii bits'ą́ąjį' yisdánihiyínííł . [ Háálá ahóyéel'áágóó ni t'éí nóhólnííh áádóó t'áadoo bee nóodziilí da , índa ayóó ánít'é . T'áá ákót'ée doo . ]
40:6:014:0	Háálá diné nihich'į' doo ákǫ́ǫ́ ádáát'įįdii bá yóó'adahidoh'aahgo nihiTaa' yá'ąąshdi hólóonii bich'į' doo ákǫ́ǫ́ ádaot'įįdii ałdó' nihá yóó'iidii'aah doo ,
40:6:003:1	Jesus hodílzingo doo adą́ągi yína'niłtin
40:6:015:0	nidi diné nihich'į' doo ákǫ́ǫ́ ádáát'įįdii doo bá yóó'adahidoh'aahgóogo , nihiTaa' bich'į' doo ákǫ́ǫ́ ádaot'įįdii ałdó' doo nihá yóó'iididoo'áał da .
40:6:016:0	Hodílzingo doo adą́ baa naahkaigo diné t'óó ádahodil'į́įgo yínííł yił nidaakaígi át'éego t'áadoo ákódanoht'éhí , éí binii'jį' haa'í lá doo ádayooł'įįł da , hodílzingo doo adą́ yaa naakaígíí éí t'óó diné yee danihiníł'į́ danízingo ádaat'į́ . T'áá aaníí ánihidishní , Éí bich'į' nidadoolyéełii t'áá íídą́ą́' bee dahólǫ́ .
40:6:017:0	Nidi hodílzingo doo adą́ baa nanináago nitsii' náníłtłah áádóó ninii' tánínánígis ,
40:6:004:1	Yá'ąąshdi naalye'é da'ílíinii
40:6:018:0	áko hodílzingo doo adą́ baa nanináhígíí diné doo ná dayoo'į́į da doo , niTaa' doo yit'į́į́góó hólóonii t'éiyá ná yoo'į́į doo , áádóó niTaa' t'áadoo yi'niihí ááníiłii yoo'íinii , éí na'doolééł .
40:6:019:0	Nahasdzáán bikáa'gi ch'osh ałchozhii hólǫ́ǫgi , áádóó t'áadoo le'é nídahidiniichxíihgi , índa ani'įįhii kin yighá da'anilgo da'ni'įįhgi , nihinaalye'é da'ílíinii t'áadoo ádá hasht'e' nidahidoh'níłí ,
40:6:020:0	nidi yá'ąąshdi ch'osh ałchozhii ádindi , áádóó t'áadoo le'é doo nídahidiniichxíihgi , índa ani'įįhii doo kin yighá da'anilgo da'ni'įįhdi , nihinaalye'é ádá hasht'e' nidahidoh'nííł .
40:6:005:1	Ats'íís yá adiníłdíinii
40:6:021:0	Háálá nihinaalye'é siláadi t'áá ákwii ałdó' nihijéí hólǫ́ǫ doo .
40:6:022:0	Bee hool'iní bee adinídínígi át'éego anáá' bee ats'íís bá adinídíín . Éí bąą nináá' yá'át'éehgo nits'íís t'áá át'é bił hool'in doo ,
40:6:006:1	Diyin God áádóó at'į́
40:6:023:0	nidi nináá' doo yá'át'ééhgóó nits'íís t'áá át'é bił chahałheeł doo . Áko éí bąągo niyi'di adinídíín dooleeł yę́ę éí t'áá át'é chahałheeł nilį́įgo dooládó' chahałheeł da doo !
40:6:024:0	Diné ła'da doo t'áá łahjį' naat'áanii naaki bá nijól'a' át'ée da , háálá ła' bik'eezhdiniih doo , ła' éí ayóó'ájó'níi doo , éí doodaléi' ła' doo nahdi jó'níi da doo , ła' éí jijoołáa doo . Diyin God índa at'į́ doo t'áá łahjį' bá nijól'a' át'ée da .
40:6:025:0	Éí bąą ánihidishní , Ha'át'íí lá deeshį́į́ł lá ? doodaii' , Ha'át'íí lá deeshdlį́į́ł lá ? doodaii' , Ha'át'íí lá bee hadideeshnííł lá ? t'áadoo danohsingo bee dahinohnáa dooleełígíí bíká ádił nídahodoł chiłí . Jiinánígíí éísh ch'iyáán doo biláahgo ílį́į da , áádóó hats'íísísh éé' doo biláahgo ílį́į da ?
40:6:026:0	Tsídii wódahgo nidaat'a'ígíí danół'į́ : éí doo k'ééda'didléeh da , doo nidi nída'agish da , índa doo nooh nída'ałchíih da , ákondi nihiTaa' yá'ąąshdi hólóonii ba'ałtso' . Da' nihíísh doo éí biláahgo da'nohłį́į da ?
40:6:027:0	Áádóó nihí ła' ádił náhodołchiłgo hinohnánígíí t'įįhdígoósh bilááh ádoohłíiłgo bínooł'ą́ ?
40:6:028:0	Áko ha'át'íísh biniyé nihi'éé' bíká ádił nídahodołchił ? Nihokáá'góó ch'ilátah hózhóón nidanise'ígíí baa nitsídaahkees , éí doo nidaalnish da , índa doo da'adiz da ,
40:6:029:0	nidi ánihidishní , Azhą́ Sálaman ayóó ájít'éé nít'éé' nidi , doo ła' díí hadadít'éhígi át'éego hazhdít'ée da nít'éé' .
40:6:030:0	Éí lá bąą Diyin God nihokáá'góó ch'ilígíí díí jį́ nidanise'go , áádóó yiską́ągo konk'eh góne' ahidoolkałígíí nidi nizhónígo haidósingo , t'įįhdígo da'iinohdláanii , da' ákoósh éidíígíí biláahgo doo hadadinoht'éego ánihósin da ?
40:6:031:0	Éí bąą , Ha'át'íí lá dadiidį́į́ł lá ? doodaii' , Ha'át'íí lá dadiidlį́į́ł lá ? doodaii' , Ha'át'íí lá bee hadadiniit'ée dooleeł lá ? t'áadoo dadohníigo ádił nídahodołchiłí .
40:6:032:0	Háálá doo Jew dine'é danilíinii éidí t'áá ałtso hádaat'į́ ; jó nidi , nihiTaa' yá'ąąshdi hólóonii díidí t'áá ałtso bídin danohłį́įgo chodaoł'ínígíí nihá bił bééhózin .
40:6:033:0	Nidi Diyin God bee bóhólníihgo bił haz'áanii áádóó yee ts'ídá t'áá ákogi át'éii alą́ąjį' hádaaht'į́ , áko éidí t'áá ałtso nihá bíidoolyééł .
40:6:034:0	Éí bąą yiską́ągo áhoot'ée dooleełígíí t'áadoo bíká ádił nídahodołchiłí , háálá yiską́ągo bíká ádił nídahodichiłii dahólǫ́ǫ doo . Ła'a jį́ bii' ach'į' nahwii' ná nihwiileehígíí bíni'dii t'áá ákódígo ach'į' nahwii'ná hólǫ́ .
