7:18:001:1	Máíkah áádóó Dan dine'é
7:18:001:0	Éí yoołkááł yę́ędą́ą́' Ízrel dine'é bitahgi aláahgo naat'áanii doo hólǫ́ǫ da nít'éé' . Áko íídą́ą́' Dan dine'é éí kéyah yikáá' kéédahat'į́į dooleełígíí hadeintá , háálá íídą́ą́' Ízrel dine'é bitahgóó kéyah íí' dooleełii doo ła' hach'į' kódaalnéeh da .
7:18:002:0	Áko Dan dine'é danilíinii t'áá bí bidine'é bitahdóó diné doo nídanilyéesii ashdla' yilt'éego Zórah kin shijaa'dóó índa Éshteiyal kin shijaa'dóó naalchi'í danilį́įgo éí kéyahgóó hazhó'ó hada'doohsił biniyé dah dazhdiił'a' , áko ádeidííniid , Nílááh , kéyah hazhó'ó hadaohsííd . Áko Dził Íífreiyimgi yíkaigo Máíkah bikingi daneezhjéé' .
7:18:003:0	Áko Máíkah bikingi nidaháaztą́ą́ nít'éé' ; Líívai dinééh biinéé' yéédahoosįįdgo yich'į' niikaigo ádeidííniid , Háishą' kwe'é nił ní'áázh ? Díí kéyahgishą' ha'át'íí baa naniná ? Kwe'ésh ha'át'íí nee hólǫ́ ?
7:18:004:0	Áko ábizhdííniid , Kót'éego Máíkah shá ádzaago bik'é shich'į' ni'iiléego bináá'iiłniihii sélį́į́' .
7:18:005:0	Áko ádahodííniid , Haash yit'éego dooleeł Diyin God nihá nabídíłkid baa nídaniikąąh . Áko díí nihił béédahodoozįįł : dadiikaigóó yá'át'éehgo nihá áhooníiłgo deíníikáah doo .
7:18:006:0	Áko náá'iiłniihii áhodííniid , Nílááh , hózhǫ́ǫgo wohkah ; Bóhólníihii nihił hólǫ́ǫgo deínóhkáah doo .
7:18:007:0	Ákohgo diné ashdlalt'éhígíí dah náádiikaigo Léíyish kin haal'áadi yíkai . Áko t'áadoo yąąh dabíni'ígóó ákwii kéédahat'ínígíí Sáídan dine'é bił hasht'ehodít'é áádóó hasih dahodiil'aahgo kéédahat'ínígi át'éego dziiłtsą́ . Éí kéyah biyi' naat'áanii doo hólǫ́ǫ dago doo baa yáhásinígi ádabi'dilnéeh da . Sáídan dine'é bits'ą́ądi nízaadi kéédahojit'į́įgo bąą dadine'é náánáła' doo bił ahaa nida'jiilniih da .
7:18:008:0	Áádóó ashdlajilt'éhígíí Zórah kin shijaa'gi áádóó Éshteiyal kin shijaa'gi hak'isóó baa níjíkaigo ádahałní , Haa dahoot'éé lá ?
7:18:009:0	Áko ádaaní , Sołtį' , bich'į' hidiikah ; jó , kéyah hadasiilzidígíí t'áá íiyisí hózhóní . Doósh baa nidaahkaí da ? T'áadoo nida'áhodołdziidí , ákǫ́ǫ́ dah doohkáahgo kéyah nihíí' ádaohłééh .
7:18:010:0	Ákǫ́ǫ́ dahisidoohkaigo hasih dahodiil'aahgo kéédahat'ínígíí baa doohkah . Kéyah ayóó áhoníłtsxooígíí Diyin God nihílák'eidíí'ą́ . Éí bikáa'gi ts'ídá t'áadoo bídin hóyé'ígóó t'áá ałtsoní dahólǫ́ǫgo haz'ą́ .
