14:13:001:1	Abáíjah nant'áá nít'éé'
14:13:001:0	Áko k'ad, Jerobówam aláahgo naat'áanii nilį́įgo tseebííts'áadah náhááh góne' Abáíjah éí Júdah dine'é yinanit'a'í silį́į́'. 
14:13:002:0	Táá' nááhaijį' Jerúsalem kin haal'áagi aláahgo naat'áanii nilį́į́ nít'éé'. Bimá éí Méíyakah wolyé; éí Gíbiyahdóó diné Yúriyel bitsi'.Áko Abáíjah áádóó Jerobówam ałch'į' anaa' hółǫ́ǫ́ nít'éé'. 
14:13:003:0	Áko Abáíjah éí siláo ayóo nidaabaahígíí dį́įdi neeznádiindi míilgo néidiinilgo anaa' biniyé yich'į' ni'ahí'nil. Jerobówam ałdó' siláo baa dahodzódlíii tseebíidi neeznádiindi míilgo néidiinilgo hach'į' anaa' biniyé ałkéé' niinínil. 
14:13:004:0	Áádóó Íífreiyim dine'é bikéyahdi deílk'idígi éí Dził Zemaréíyim bighą́ą́'dóó Abáíjah dah yiizį'go ání, Jerobówam áádóó Ízrel dine'é t'áá ánółtso, dashíínółts'ą́ą́'. 
14:13:005:0	Ízrel biBóhólníihii Diyin God éí David yę́ę áádóó biye'ké t'áá bił áshįįh bee aha'deet'ą́ągo Ízrel dine'é bee óhólnííh hool'áágóó baa deet'áanii nihił béédahózin. 
14:13:006:0	Nít'éé' David yę́ę biye' Sálaman yę́ę bá naal'a'í Nííbat biye' Jerobówam nídiidzáago binanit'a'í yich'į' naalteeh. 
14:13:007:0	Áádóó bik'ijį' diné doo yá'ádaashóonii ahíikaigo baa yíkai; éí Sálaman yę́ę biye' Riihobówam honiyé bidziilgo ída'diilyaa; íídą́ą́' Riihobówam t'ah ániid naagháago ádíkásti'go doo bohoníłdzil da nít'éé'. 
14:13:008:0	Áko nihí t'áá íiyisí t'óó ahonohyóí índa Jerobówam éí óola bee dóola yáázh naakigo áyiilaago nihidiyin biniyé nihee hólǫ́ǫgo biniinaa k'ad David yę́ę biye'ké éí Bóhólníihii bibee óhólnííh yeidiní'ánígíí bídadíníil'ąął danohsin. 
14:13:009:0	Bóhólníihii yá nááda'iiłniihii Éran áádóó Líívai dine'é biye'ké náás da'ahílchíiłii da' éísh doo nihił adaaníi da? Áko nílááhgóó kédaayahgóó ał'ąą dine'é ádaat'ínígi át'éego nááda'iiłniihii ádá nidahisoonil. Áko t'áá háiida éí dóola yázhí índa deenásts'aa' tsosts'idgo bee dílzin ádílnéehgo éí k'ehgo diyin dabidi'níinii bináá'iiłniihii danilį́įgo ádaahłééh. 
14:13:010:0	Nidi nihí éiyá Bóhólníihii nihiDiyin God nilį́, áádóó doo yóó'adadiit'ą́ą da, índa náá'iiłniihii danilínígíí Bóhólníihii yá nidaal'a'; éí Éran biye'ké danilį́ áádóó Líívai dine'é éí nidaal'a'gi bindaanish. 
