8:4:001:1	Bó'az éí Ruth yá ázyeh
8:4:001:0	Áko Bó'az éí kin haal'áii bidáń'dítį́įhgi nizhníyáago ákwii dzineezdá, áádóó shoo, akéé' góne' ak'éíígíí éí Bó'az haa yáłti' yę́ę jiníyá. Ákohgo Bó'az ázhdííniid, Shik'is, de'nínáahgo kwe'é nídaah, áádóó ákwii jiníyáago dzineezdá. 
8:4:002:0	Áko kintahdóó diné aghá dahideezíinii bídahólníihii neeznált'éego nízhdiinilgo ábijiní, Kwe'é dinohbįįh; áko dineezbin. 
8:4:003:0	Ákohgo akéé' góne' ak'éí nilínígíí ábizhdííniid, Neiyómii éí Mó'ab kéyahdę́ę́' nádzáhígíí éí nihik'éí Elímelek yę́ę bikéyah nayiiłniih lá. 
8:4:004:0	Ákohgo kódíshníigo nił hodeeshnih nisingo baa nitsískees, Kǫ́ǫ́ nidaháaztánígíí índa shidine'é bahastóí danilíinii dabinááł nahíłniih. Jó, t'ą́ą́' náhideeshnih nínízingo t'ą́ą́' náhidííłnih, nidi doo ádíínííłdą́ą́' shił náhodíílnih, áko shił bééhózin doo, háálá ni, doodago éí ła' t'ą́ą́' néidiyoołnihígíí t'áá ádin, áko shí t'éí nikéé' góne' naashá. Áko áhodííniid, T'ą́ą́' náhideeshnih. 
8:4:005:0	Ákohgo Bó'az ájíní, Neiyómii bílák'eedóó kéyah nahíłniih bijį́į́ góne' Ruth, Mó'ab dine'é nilínígíí ałdó' t'áá bił nahidííłnih; éí bąąh áhásdįįdii bidiné daaztsánígíí bíí' yę́ę bízhi' bee wójíigo áńdoolnííł. 
8:4:006:0	Áádóó índa akéé' góne' ak'éíígíí ání, Doo ádá nááhóshniih át'ée da, doodago éí shíí' nilíinii doochǫǫł. Shí nahideeshnihgo bee shá haz'ánígíí nídiilé, háálá shí doo nááhóshniih át'ée da. 
8:4:007:0	Nahą́ądę́ę́' é'él'į' bik'ehgo honíyáii éí Ízrel dine'é bídéét'i'go t'ą́ą́' náádayiiłniihgi índa bídéét'i'go t'áadoo le'é ałghááda'ii'níiłgi kódaat'į́į́ nít'éé', áko t'áá ałtsoní nahaniihígíí bééhózingo óolzin doo: na'iiznii'go diné bikee' haidiidlééh, áádóó bił kééhat'íinii yaa yilééh nít'éé'; díí kót'éego bee ééhániihii Ízrel dine'é bá bééhózin nít'éé'. 
8:4:008:0	Áko akéé' góne' ak'éí nilíinii Bó'az ííłní, Ádá nahíłniih, níigo bikee' haidiidlá. 
8:4:009:0	Ákohgo Bó'az éí hastóí áádóó diné t'áá ałtso ábijiní, Díí jį́ oo'íinii danohłį́; éí kéyah Elímelek bí nít'éé' yę́ę t'áá át'é áádóó Kíliyan índa Málan ałdó' bí nít'éé' yę́ę t'áá át'é Neiyómii baa naháłnii'. 
8:4:010:0	Náá'áłdó' Ruth, éí Mó'ab dine'é jílíinii, Málan hąąh daaztsą́ągo asdzání bąąh áhásdįįdii jílį́įgo she'asdzą́ą́ jidooleeł biniyé nahoyéłnii', áádóó diné hąąh daaztsáanii bikéyah hólǫ́ǫgo bi'dójíhígíí chánah ádoolnííł biniyé, éí dadziztsáanii hak'isóó bitahgóó índa hakin haal'áagi dáń'dítį́hígíí doo baa hodiyoo'nah da biniyé naháłnii'. Díí jį́ nihí oo'íinii danohłį́. 
8:4:011:0	Ákohgo kin haal'á bidáń'dítį́įhgi diné áłah silį́'ígíí t'áá ałtso áádóó hastóí ałdó' ádaaní, Oo'íinii lá daniidlį́ ni. Bóhólníihii éí asdzání nighan góne' yah adoogáłígíí díí yá íidoolííł: Réíchel áádóó Líyah éí t'áá áłah Ízrel dine'é k'ee'ąą yiyííłąądígi át'éego ná áyóle'. Éfata haz'ą́ągi ít'į́į doo áádóó Béthlehemgi ts'ídá néého'dílzin doo. 
8:4:012:0	Áádóó na'áłchíní náás ahidoolchíiłii éí Píírez ba'áłchíní náás noot'į́łígi át'ée doo; Téímar éí Júdah bá Píírez jishchį́; éí áłchíníígíí Bóhólníihii neidooniłgo díí asdzání ná niidiyoołchííł. 
8:4:013:0	Áko Bó'az éí Ruth néidiiłtį́įgo be'asdzą́ą́ silį́į́', áádóó Bó'az éí Ruth yił ahidii'áazhgo Bóhólníihii bíniik'ehgo Ruth izniiltsąąd, áko ashkii jishchį́. 
8:4:014:0	Áko asdzání danilíinii Neiyómii ádeidííniid, Bóhólníihii baa ha'niih, díí jį́ áhánígo nik'éí nilíinii t'áá ádingo doo ániilaa da; Ízrel dine'é bitahgi ashkii bízhi' ts'ídá bee béého'dílzin doo. 
8:4:015:0	Hó éí iiná ná náás joołt'ih doo; t'áá hasínítihjį' na'ałtso' doo, háálá nizháá'áád ayóó'ánó'níinii niyáázh tsosts'id dooígíí biláahgo ná yá'át'éehii ashchį́. 
8:4:016:0	Ákohgo Neiyómii éí awéé' néidiiłtį́įgo biyid yíyiiłtsood, áádóó baa áhojilyáanii dzizlį́į́'. 
8:4:017:0	Áádóó asdzání hoł kéédahat'íinii awéé' bízhi' yá ádayiilaago ádaaní, Neiyómii bá ayáázh yizhchį́. Óbed wolyée doo. Éí Jésii yizhé'é nilį́į́ nít'éé', áádóó Jésii éí David yizhé'é nilį́į́ nít'éé'. 
8:4:018:0	K'ad díí Píírez ba'áłchíní náás da'ahílchíihii ádaat'į́: Píírez éí Hézran yizhé'é nilį́į́ nít'éé', 
8:4:019:0	Hézran éí Ram yizhé'é nilį́į́ nít'éé', Ram bá Amínadab yizhchį́, 
8:4:020:0	Amínadab bá Náshan yizhchį́, Náshan bá Sálman yizhchį́, 
8:4:021:0	Sálman bá Bó'az yizhchį́, Bó'az bá Óbed yizhchį́, 
8:4:022:0	Óbed bá Jésii yizhchį́, áádóó Jésii bá David yizhchį́.
