18:35:001:0	Náá'áłdó' Iiláíhu ánáádoo'niidgo ání, 
18:35:002:0	Díí bee hahínídzí'ígíísh t'áá ákódaat'é nínízin?T'áá ákogi ánísht'éii éí Diyin God biláahgo át'é, diníigoósh ádíní? 
18:35:003:0	Jó, ádíní, T'áadoo ádił asésiihgóó ha'át'íí bee nídidíílééłínda ádił asésiihgo biláahgo ha'át'íí shaa doodił? 
18:35:004:0	Áko ni lá áádóó nik'isóó danilíinii bił nihich'į' hahideesdzih. 
18:35:005:0	Shoo, yót'áahdi hiníláii níníł'į́índa niláahdi k'os deílzhoodígíí níníł'į́. 
18:35:006:0	Ádił asínísiihgo haash yit'éego Diyin God bik'ijį' nílį́?Bee haz'áanii hítíihgo t'óó ahayóí yileehgo bee Diyin God haa nił'į́? 
18:35:007:0	T'áá ákogi ááníiłgo bee ha'át'íí Diyin God baa hínííł?Ha'át'íí éí nits'ą́ą́dóó néidiyiilé? 
18:35:008:0	Doo yá'áshǫ́ǫ́góó ááníłígíí t'áá éí bee diné t'áá nigi át'éii atíní ł'į́,áádóó t'áá ákogi ááníłígíí bee éí diné nilíinii bá í'iideeł.  
18:35:009:0	T'óó ahayóí bee ade áhólzinii biniinaa diné saał hahóół'á;Ayóó ádabóodziilii hach'į' nidahwiiłnánígíí bąą nihíká oohjeeh, daaní. 
18:35:010:0	Nidi Diyin God áshiilaii éí tł'ée'go sin eidii'aahii háájí lá ííyá? doo níní da. 
18:35:011:0	Éí nihokáá'góó naaldlooshii danilíinii yiláahgo nanihinitin;tsídii wót'áahdi naaldeehii biláahgo dahoniidzą́ągo ádanihile'. 
18:35:012:0	Diné sodadilzin nidi doo yá'ádajíshóonii ádaa dahoji'niihígíí bąą bich'į' doo ééhoosįįh da. 
18:35:013:0	T'áadoo biniyéhígóó sohodizingo t'áá aaníí Diyin God doo yidiits'a' da,índa Aláahgo Ayóó'ábóodziilii doo yik'ítsídíłkees da. 
18:35:014:0	Azhą́, Doo yideestséeł da, diníi nidi,bidááhdóó nidíínááł; éí bąą baa dzíínílíigo hiníná. 
18:35:015:0	Díí k'ad hoolzhishígíí biyi' Diyin God báháchįįhgo doo até'éł'į́į dagoáádóó bee haz'áanii doo yik'eh dahół'ínígíí doo yaa ákonízin dago biniinaa 
18:35:016:0	Job t'áadoo biniyéhígóó hayánídíníltih;t'áadoo bił bééhóziní saad t'óó ahayóí t'óó ałkéé' néidiłt'ih.
