19:49:001:1	Psalm . xlix .
19:49:002:1	¶ Audite hæc Gentes .
19:49:001:0	CLywch hyn yr oll populoedd : clustymwrandewch oll drigiolion byt .
19:49:002:0	Sef yr ei distadl a’r ei o stat , y goludawc a’r tlawt .
19:49:003:0	Vy-genae a gympwyll [ am] ddoethinep , a’ mevyrdawt vy-calon [ vyð] am ddeall .
19:49:004:0	Gogwyddaf vy-clust ar ddamec : datcanaf vy gwiwdraethawt ar y delyn .
19:49:005:0	Paam ydd ofnaf y ny dyddiae anvad : pan vo enwireð im gogychyny ar vy sodleu ?
19:49:006:0	Yr ei rydd ei coel ar ei da , ac a ymffrostiant yn amylder ei golud .
19:49:007:0	Eithyr ny all nep waredy ddim o [ ei] vrawt : ny all ef roddy ei gyngwerth y Ddew .
19:49:008:0	Can ys gwerthvawr yw prynyant ei heneidiae , a’r [ ys]paid yn tragywydd .
19:49:009:0	Er iddo vyw yd dragyvyth , ac na welo y bedd .
19:49:010:0	Can ys e wyl vot y doethion yn meirw , a’hefyt ys collir yr andoeth a’r ynfyd , ac y gadant ei golud y ereill .
19:49:011:0	A’ hwy dybiant [ y pery] ei tai [ a’] i trig-leoedd yn tragywydd , [ ys] o genedlaeth i genedlaeth , a’ galw [ ei] tireð yn ol ei henweu .
19:49:012:0	Eithr nyd erys dyn mewn anrydedd : [ ys] cyffelip yw yr escrublieit y vyddant veirw .
19:49:013:0	Llyma y ffordd hwy [ yn dangos] ei h’ynfydrwydd : [ er hynny] yr ei ddel ar ei hol , vydd hoff ganthynt ei hymadrodd . Sélah .
19:49:014:0	Val deueit y gorweðant yn y bedd : angae ei h’ysa , a’r ei cyfion ei llywia hwy y borae : [ canys] ei tegwch y ddervyð , [ pan elont] o’i cartref i’r bedd .
19:49:015:0	Eithyr Dew a weryd [ vy] eneid o law y bedd : can ys ef a’m cymer . Sélah .
19:49:016:0	Nac ofna pan govoethogir vn , [ a’] phan liosocer gogoniant ei duy .
19:49:017:0	Can ys wrth varw ny ddwc ef ddim ymaith , ac ny ddescen ei vawredd ar ei ol .
19:49:018:0	Erwydd tra ytoedd e [ wr] byw , efa ymhoffei : a’ hwy ath clodvorant , pan vych dda wrthy-ty [ un . ]
19:49:019:0	Efa ðaw y mewn yd cenedlaeth ei dadae , ac ny welant ’olauni yn dragyvyth .
19:49:020:0	Dyn [ ys y] mewn anryddedd ac ny ddeall : ef gyffelypir i’r yscrublieit [ y gollir .
