19:65:001:1	Psalm . lxv .
19:65:002:1	Te decet hymnus .
19:65:001:0	WRthy-ti Ddew y dysgwyl mawl yn Tsijon , ac y ti y telir addunet .
19:65:002:0	Can yty glywet gweddi , atati ydaw pop cnawt .
19:65:003:0	Petheu andewiol vuont trech na myvi : eithr tu drugaréi wrth ein troseddion .
19:65:004:0	Gwyn ei vyd yr hwn a ðewysych , ac y wnelych yddo ddyvot [ atat : ] ef a dric ith lysoeð , [ a] ni a ðywellir a phrydverthwch dy duy , [ ’sef] dy Templ sanctaidd .
19:65:005:0	Dew ein iachyt , ti a’n ateby ac [ arwyddion] ofnus yn [ dy] gyfiawnder , ti y] gobeith oll tervyneu y ðayar , a’ phelledigion y môr .
19:65:006:0	Efe a ffyrfá y mynydde gan ei gadernit [ ac] y wregysir a nerthawgrwydd .
19:65:007:0	Ef a ’oystega ddwrdd y moroedd , a’ dwrdd ei tonhae , a’ thervysc y populoedd .
19:65:008:0	Yr ei hefyd y breswiliant yn eithaweð [ byd] y ofnant gan dy arwyddion : ti wnai ir Dwyrein a’r Gorllewin llawenechu .
19:65:009:0	Ydd wyt yn govwyo y ðaiar ac yn ei dyfráu : ydd wyt yn ei mawr gyvoethogi , Avon Dew ys y yn llawn dwfr : ydd wyt yn arlwy ŷd yðwynt , can ys velly hi ðarperaist .
19:65:010:0	Ydd wyt yn llawn ðufráu hi chwysae : ydd wyt yn anvon [ glaw] yw dyffrynoedd : ydd wyt yn hei meddalâu a chawodydd , ac yn bendithio hei blagur .
19:65:011:0	Coroni ydd wyt y vlwyddyn ath ddaoni , ath lwybreu a ddefnynant vraster .
19:65:012:0	Defnynu y maent ar drigleodd y diffaith : a’r brynniae a wregysir a llawenydd .
19:65:013:0	Y porvaeydd a ’wiscir a deveit , y glynnoedd hefyt a ymdoant ac ŷd : [ am hyny] gawri y wnant a’ chanu .
