19:36:001:1	Psalm . xxxvj .
19:36:002:1	Dixit iniustus .
19:36:001:0	SYganei yr enwiredd wrth yr andewiol , ys ef yn vy-calon , Nyd [ oes] ofn Dew geyrbron ei lygaid .
19:36:002:0	Can ys mae ef yn ymlewydd ac ef yhun yn ei ’olwc , yn y chaffo y anwiredd ef ddygasedd .
19:36:003:0	Geiriae ei eneu [ geiriae] enwired a’ dichell : peidiodd a [ mynhy] deall a’ gwneythy da .
19:36:004:0	Enwiredd a vevyria ar ei wely : ef a ymosyt ar ffordd nyd [ yw] dda , [ ac] nyd cas ganthaw ddrwc .
19:36:005:0	Arglwydd , yd y nefoedd [ y cyrhydd] dy drugaredd , ath ffyddlondap yd yr wybrae .
19:36:006:0	Dy gyfiawnder [ ys y] val mynydde cedyrn : dy varnion ynt val dyfnder mawr , dyn ac anival a waredy Arglwydd .
19:36:007:0	Mor werthawr yw dy drugaredd Ddew : am hynny yr ymddiriait plant dynion yn-gwascawt dy adanedd .
19:36:008:0	Wy a gyflawnir a braster dy duy : a’thi a roddy yðwynt ddiot o avon dy dlysae .
19:36:009:0	Can ys y gyd a thi y mae ffynnon y bywyt , ac yn dy ’oleuni y cawn welet goleuni .
19:36:010:0	Estyn dy drugaredd y rein ath adwaenant , a’th gyfiawnder yr ei syd vnion o galon .
19:36:011:0	Na ddauet troet balchder im erbyn , ac na bo y law yr andewiolion vy ymmot .
19:36:012:0	Yno y syrthiodd yr ei weithredawdd enwiredd : eu bwriwyt ir llawr , ac ny allant godi .
