1:15:001:1	Diyin God éí Éíbram yił aha'deet'ą́
1:15:001:0	Díí bik'ijį' Éíbram bił áhoodzaago Bóhólníihii bizaad yidiizts'ą́ą'go ání, T'áadoo nił yé'í, Éíbram; shí ninaage' nishłį́, índa ayóó át'éego nich'į' niná'doodléełii nishłį́. 
1:15:002:0	Áko Éíbram ázhdííniid, ShiBóhólniihii Diyin God, sha'áłchíní t'ah doo haleehgóó ha'át'íí lá shaa nílé? Áko shee hólóonii Damáskasdóó Eliyíízer nilíinii bíí' dooleeł. 
1:15:003:0	Áádóó Éíbram ádííniid, Shoo, áłchíní t'áadoo shéínínil da, áko shighangi yizhchínígíí t'éiyá shee hólóonii bíí' dooleeł. 
1:15:004:0	Áádóó jó'akon, Bóhólníihii bizaad náázdiizts'ą́ą'go ánááhodoo'niid, Díí doo hóó' dooleeł da; t'áá ni niye' bíí' dooleeł. 
1:15:005:0	Áádóó hoł ch'íní'áazhgo áháłní, Níléí góde yádiłhił biyi'góó díní'į́į́'; sǫ' yíníłta'; bíninil'ą́ągo yíníłta', áádóó ánááhodoo'niid, Ákót'éego na'áłchíní náás da'ahílchíihii ákónéelą́ą́' dooleeł. 
1:15:006:0	Áko Bóhólníihii joosdląąd, áko t'áá ákogi ájít'éego há haadzíí'.  
1:15:007:0	Áko áhodííniid, Shí Bóhólníihii ásht'į́; Er kin haal'áii éí Kaldíya dine'é bikéyahdę́ę́' nił ch'íní'áázh, áko díí kéyahígíí naa dideesh'ááł. 
1:15:008:0	Áádóó ázhdííniid, Bóhólníihii Diyin God nílíinii, ha'át'éegoshą' éí shił bééhodoozįįłgo shíí' dooleeł? 
1:15:009:0	Áko ánááhodoo'niid, Béégashii bi'áadii táá' binááhaígíí índa tł'ízí bi'áadii táá' binááhaígíí ałdó', deenásts'aa' táá' binááhaígíí ałdó', hasbídí ałdó', hasbídí łigaii biyázhí ałdó' shá nídidíínił. 
1:15:010:0	Áko díidíígíí t'áá ałtso baazhnínil, áko ałníí' gónaa ałts'áyiizhgizhgo ałts'ą́ąjį' niyiiznil; tsídii éí t'áadoo ałts'áinígizh da. 
1:15:011:0	Áko tsídii da'alghałii atsį' siniljį' anájahgo Éíbram éí nahgóó anéiniłka' nít'éé'. 
1:15:012:0	Áko jį́honaa'éí biká'ájį' ííyáago Éíbram t'áá íiyisí ho'diilghaazh, áko t'óó báhádzidgo hak'ijį' chahóółhéél. 
1:15:013:0	Áko Bóhólníihii éí Éíbram áyidííniid, T'áadoo naaki nilíní nił bééhoozįįh; na'áłchíní náás da'ahílchíihii dé'éyóní danilį́įgo kéyah t'áadoo daabíi' ii yiyi'di nidaal'a' doo; atídabi'dil'į́įgo dį́įdi neeznádiin nídoohah, 
1:15:014:0	áádóó éí dine'é danilíinii binaalte' dajílį́į dooleełígíí baa nídéesht'įįł, áádóó bik'ijį' t'áá íiyisí da'jit'į́įgo ch'ízhdoonééł. 
1:15:015:0	Áko ni t'éí nił hózhǫ́ǫgo danizhé'é yę́ę bich'į' díínááł; są́ niisxį́įgo łeeh nidi'dooltééł. 
1:15:016:0	Nidi dį́įdi są́ ná'oogą́ą'go kwe'é nináhidookah, háálá Ámor dine'é doo ákwii át'éii t'ah doo bide ánéeh da. 
1:15:017:0	Áádóó ákódzaago i'íí'ą́ągo chahóółhéél, áádóó jó'akon, ásaa' bii' déédíljahígíí biyi'dę́ę́' łidgo áádóó honooyééł diltłi'ii atsį' ałts'ádaas'nilígíí bita'góó hadiildoh. 
1:15:018:0	T'áá éí bijį́į́dą́ą́' Bóhólníihii kóníigo Éíbram yił aha'deet'ą́, Na'áłchíní náás da'ahílchíihii díí kéyah Ííjip tooh nílínídóó ayóó át'é Yufréítiiz tooh nílíníjį' baa diní'ą́: 
1:15:019:0	Kííni dine'é áádóó Kííniz dine'é áádóó Kádmon dine'é 
1:15:020:0	áádóó Het dine'é áádóó Píírez dine'é áádóó Ríífem dine'é 
1:15:021:0	áádóó Ámor dine'é áádóó Kéínan dine'é áádóó Gírgas dine'é índa Jííbas dine'é, díí t'áá ałtso dabikéyah nít'éé'.
