23:34:001:1	Bóhólníihii éí ał'ąą dine'é áádóó Íídam dine'é yich'į' báhóóchįįd
23:34:001:0	Ał' ąą dine'é dadi'doohts'į́į́ł biniyé áháníjį' ninohkááh, áádóó nihokáá' dine'é nohłíinii, da'íísółts'ą́ą́'; bíni'dii nahasdzáán áádóó biyi'gi hólóonii t'áá ałtso, nihokáá' áádóó bikáá'dóó nihwiileehígíí t'áá ałtso da'íísółts'ą́ą́'. 
23:34:002:0	Háálá Bóhólníihii éí ał'ąą dine'é yich'į' hashké niidzį́į́' áádóó hasiláo dah deínéehii yéego yich'į' báháchį'go ałtso íísdįįd áádóó nidaho'didootsxiłjį' ho'níłnii'. 
23:34:003:0	Nidabidiztseedii ch'íhidooltł'iłgo dabits'íís bits'ą́ą́dóó dííłdzid dah didooldoh, áádóó dabidiłę́ę éí dził bąąh danílį́į doo. 
23:34:004:0	Áádóó yá biyi'di dahiníláii ałtso ádoodįįł, áádóó yádiłhił éí naaltsoos yisdisii nahalingo doodis, índa ch'il na'atł'o'ii bit'ąą' bąąh nandéhígi át'éego áádóó fig sikaadii bineest'ą' nandéhígi át'éego yá biyi'di dahólóonii nidoołdas. 
23:34:005:0	Háálá yá'ąąshdi shidiltłish nidí'nóodlį́į́ł; éí kéyah Íídamgi dine'é hóyée'go bá haasdzíi'ii atíidoolíiłgo biniyé hadahodooleeł, jó'akon. 
23:34:006:0	Bóhólníihii bidiltłish éí dił bee yishdléézh, áádóó ak'ah bee hwiih asdlį́'ígi át'éego índa dibé yázhí áádóó tł'ízí bidił, áádóó deenásts'aa' bitsą́ áshk'azhí bik'ah yee hwiih silį́'ígi át'éego sitą́, háálá Bázra kin haal'áagi Bóhólníihii náá'iiniih áyiilaa áádóó kéyah Íídamgi ayóó át'éego na'astseed. 
23:34:007:0	Áádóó béégashii ałchinii yił ádoodįįł; éí dóola yázhí áádóó dóola ałdó' t'áá bił, áádóó bikéyah dił bee nídooltłoh, índa łeezh dibahí éí ak'ah bee niłhin nahalin doo. 
23:34:008:0	Háálá Bóhólníihii k'éédí'nééh beiníłką́; Dził Záíyan yá k'éédidoo'níłígíí baa hoolzhíísh. 
23:34:009:0	Áko Íídamgi tó danílínígíí łeejin dijé'ígíí nídoodleeł, áádóó łeezh dibahí éí tsékǫ' nídoodleeł, índa éí kéyahígíí łeejin dijé'ígíí dook'ą́ąłii dooleeł. 
23:34:010:0	Tł'ée'go áádóó jį́įgo doo dinóotsis da; hool'áágóó bilid yaat'i' doo; ałk'i háá'iiyoochííłgóó t'áadoo biniyéhígóó haz'ą́ą doo; doo ła' yii'góó ch'ínádáhígóó hool'áágóó ahool'áa doo. 
23:34:011:0	Nidi naal'eełí áádóó tsék'i na'azólii yee ádídahólníih doo, índa né'éshjaa' áádóó gáagii ałdó' ákwii kéédahat'į́į doo. Ákwii béésh bee ída'neel'ąąhí ił hodoołąąłígíí índa tsé dah naalch'ąąłgo bik'ehgo í'neel'ąąhí bee doo siláhígóó íidoolííł. 
23:34:012:0	Diné da'ílíinii bee óhólníihgo bił haz'ą́ąjį' hágo deididooniił, nidi doo ła' ákwii doogá łí da, índa binanit'a'í t'áá ałtso t'áadoo danilíní da doo. 
23:34:013:0	Áádóó aláahgo naat'áanii dabighan yę́ęgóó ch'il deeníní hadadínóosééł índa bine' na'adzi' bił nahaz'ą́ yę́ęgóó ch'il biwosh dahólóonii áádóó ch'il da'dishahii hadadínóosééł; mą'ii áádóó tsídiitsoh ástrich wolyéii dabighan dooleeł. 
23:34:014:0	Honoojíídóó naaldlooshii da'ałchinii éí naaldlooshii daachago hahóół'áii yił ahínéikah doo, áádóó tsétah tł'ízí yił ałch'odao'nínígíí yíká yicha; yee naaldlooshii bináłt'éii ałdó' ákwii hááhályį́įhgo bá haz'ą́ą doo. 
23:34:015:0	Ákwii tł'iish k'aa' bit'oh anáyiil'įįhgo ná'álchíih doo áádóó biyázhí néidiiłjahgo bichaha'oh anéi'nił doo; ákwii jeshóó' ałdó' t'ááłá'í nítínígo bi'áadii yił áłah nádleeh doo. 
23:34:016:0	Bóhólníihii binaaltsoos biyi'dóó naniłkaahgo yíníłta'; díí doo ła' ádin da dooleeł, bi'áadii doo ch'ééh háidéez'į́į' da doo; t'áá bí yee haadzíí' áádóó biníłch'i yee áłah áyiilaa. 
23:34:017:0	Áádóó t'áá ał'ąą bá nahaz'ą́ągo áyiilaa índa yída'neeł'ąąhgo yá ałts'ádeiznil; hool'áágóó daabí dooleełgo ałk'i háá'iiyoochííłgóó ákwii kééhat'į́į doo.
