23:9:001:1	Hózhǫ́ǫ́jí Yinant'áii bi'dizhchíinii áádóó bee bóhólníhígíí
23:9:001:0	Azhą́ ákót'ée nidi, éí yínííł nilį́į́ nít'éé' yę́ę chahałheeł bá ádin doo. Átsé hoolzhiizhígíí biyi' Zébyulan kéyahgi áádóó Náftalai kéyahgi dine'é doo dabidi'nidzingóó áyiilaa, nidi akéédę́ę́' hoolzhishígíí biyi' be'ek'id bich'į'go tooh Jórdan biláahdi Gálilii kéyahgi ał'ąą dine'é kéédahat'ínígi ayóó áhonóolningo íidoolííł. 
23:9:002:0	Diné éí chahałheeł yii' dayíkááh yę́ę ayóó át'éego adinídíingo dayiiłtsą́; kéyahgóó anoonééł bichaha'ohgi kéédahat'ínígíí ayóó át'éego bił ch'ída'deezdláád. 
23:9:003:0	Nidine'é ayóó át'éego k'ee'ąą yilzhishgo ádíílííł; bibee ił hózhóonii k'ee'ąą nídoolzhish; agizh yaa bił dahózhónígi át'éego índa diné danilíinii naalye'é ałts'ádadi'nilígi át'éego ninááł bił nidahoozhǫǫh doo. 
23:9:004:0	Háálá azéédéetį́hí bee bich'į' nidaho'diilná yę́ę áádóó biwosgi gish sitánígíí índa tsihał bee bide ádahólzin yę́ę bits'ą́ą́' dahíníti'; éí Mídiyan dine'é abi'dool'įįdígi át'éego áhoodzaa. 
23:9:005:0	Jó, hahóó'áagi siláo dabikénééz índa dabi'éétsoh dił bik'i daashchxii'go bee dahakǫ' doo biniyé át'ée doo. 
23:9:006:0	Háálá awéé' nihá bi'dizhchį́, aye' nihaíltį́; naat'áanii yee hoo'áałii biwos bąąh siláa doo, áádóó bízhi' éí Ayóó'át'éego Kót'é Níinii, Diyin God Ayóó'ábóodziilii, Hool'áágóó aTaa' Nilíinii, Hózhǫ́ǫ́jí Yinant'áii, bidi'níi doo. 
23:9:002:1	Bóhólníihii éí Ízrel bich'į' t'óó báhádzidgo báháchį'
23:9:007:0	David bibikáá'dóó nahat'áii índa bee bóhólníihgo bił haz'áanii éí kodóó índa ahool'áágóó ts'ídá t'áá ó'óle' góne' át'éii áádóó t'áá ákogi át'éii chánahgo áádóó bidziilgo íidoolíiłgo bibee hoot'áałii índída bibee asht'ehodít'éii ts'ídá doo bá nihonít'i'góó k'ee'ąą yilzhish dooleeł. T'áá ałtsoní bee Bóhólníihii t'áá íiyisí bóhoneedlį́įgo díí yi'doolííł. 
23:9:008:0	Bóhólníihii éí Jéíkab yich'į' hane' áyiilaa, áádóó Ízrel dine'é yik'i hoole'. 
23:9:009:0	Áko diné t'áá ałtso bił béédahózin dooleeł; Íífreiyim dine'é áádóó Samériyagi kéédahat'ínígíí éí ádaa deidzódlíigo áádóó bijéí dáátł'isgo ádaaní, 
