18:15:001:1	Élifaz éí Job yich'ahashké
18:15:001:0	Ákohgo Tííman kin haal'áádóó Élifaz wolyéii ánááhodoo'niidgo ání, 
18:15:002:0	Diné hóyáaniísh t'áadoo biniyéhígóó bił bééhoozinii yee yáłti' doo,áádóó ha'a'aahdę́ę́' níyolígíísh yee nídínóochał? 
18:15:003:0	Índa doo bee a'doodiłiísh yee yáłti' doo?Éí doodaii' saad doo idééłníiniísh yee yáłti' doo? 
18:15:004:0	T'áá aaníí Diyin God doo dólzingóó yee'íínísinínda Diyin God doo bich'į' sohodizingóóyee' íínísin. 
18:15:005:0	Jó, doo ákwii ánít' éhígíí yee' ákót'éego yániiłti'índa diné binídahwéedǫ́ǫsii yádaałti'ígi át'éego yáshti' dooleeł nínízingo nihidí'aah. 
18:15:006:0	T'áá ni ádínínígíí bee ádá nináhonít'aah; shí éí doo nánihonish'aah da;t'áá aaníí, t'áá ni ádínínígíí bee ádaa nahólne'. 
18:15:007:0	Niísh áłtsé ni'dizhchį́?Deílk'idígíí t'ah doo ádaalnééhdą́ą́'ásh ándiilyaa? 
18:15:008:0	Diyin God yinaha'áiísh t'áá disíníts'ą́ą́'?T'áásh ni t'éiyá honíyą́ągo ádaa nitsíníkees? 
18:15:009:0	Ha'át'íísh nił bééhózin shį́į́ doo nihił béédahózin da?Ha'át'íí bik'idi'nitą́ą́ shį́į́ nihí doo bik'ida'diitįįh da? 
18:15:010:0	Bitsii' deiba'ii áádóó t'áá íiyisí hadaastihii nizhé'é yilą́ąjį' nidaakaii yee' nihitahgóó kéédahat'į́. 
18:15:011:0	Diyin God bits'ą́ą́dę́ę́' bee ha'ahóníiniísh doo nił hwiih daínda hazhó'ógo nich'į' yáti'ígíísh doo nił sih da? 
18:15:012:0	Ha'át'íísh biniyé ákót'éego yáníłti'?Índa ha'át'íísh biniyé hashké nínídzin yínílnáa'go 
18:15:013:0	Diyin God bik'ijį' nílį́įgo tsídíníkééz,áádóó saad doo adaaníinii bee hahídziih? 
18:15:014:0	Dinéshą' ha'át'íí át'éego ba'át'e' ádin doo,índa bi'dizhchį́įgo t'áá ákogi át'ée doo? 
18:15:015:0	Jó, Diyin God t'áá bí bidiyį́į́' doo ya'ólíi da;t'áá aaníí, yádiłhił yiníł'į́įgo doo dadílzin da. 
18:15:016:0	T'ah nááyówehgo diné doo yildingóó índa t'óó baa'ihgo dahiná;éí tó jidlą́ nahalingo doo ákwii át'éii adeisłį́. 
18:15:017:0	Nił ch'íhodeesh'áałgo shíísíníłts'ą́ą́'áádóó yiiłtsáanii bee nił hodeeshnih: 
18:15:018:0	éí hastóí dahóyáanii dabizhé'é yę́ę bits'ą́ą́dóó yaa nidahasne',áádóó t'áadoo deidínées'į́į' da. 
18:15:019:0	Éí dabizhé'é yę́ę t'áá sáhí kéyah baa deet'ą́,índa dé'éyóní nidi t'áadoo ła' hatahjį' deeyáa da. 
18:15:020:0	Diné doo yá'áshóonii ni'níłdįįdjį' ti'hooníihgo di'ní,áádóó diné ade áhósinii ákwíí béédoohahgo bá nídeet'ą́. 
18:15:021:0	Ił dahółyée'ii bił íits'a' doo;bighangi t'áá ałtsoní bee ída'íízįįdgo atíbidi'doolnííł. 
18:15:022:0	Chahałheeł yits'ádoogáłígíí doo nayólíi da,áádóó ła' diltłish yee hodiyoołhéełgo haa héesdá. 
18:15:023:0	Ch'iyáán lá háá hólǫ́? níigo adókeedgo tádíghááh.T'óó bił chahodoołhiłígíí koshídę́ę́' bich'į' hoolzhishgo yaa ákonízin. 
18:15:024:0	T'áadoo anáánáo'ne'ígóó índa bił hodiniihígíí yik'ee bił yée' doo;aláahgo naat'áanii deezbaa'go hasht'e'ádiilyaaígíí ak'eh deesdlį́į́' nahalingo hak'eh didoodleeł. 
18:15:025:0	Háálá Diyin God bik'ijį' jílį́įgo bich'į' k'ízhdeeshchidáádóó Aláahgo Ayóó'ábóodziilii bich'į' nidzildzilgo ízh'diilyaa. 
18:15:026:0	Naagé ditáanii ách'ą́ą́h niji'áago Diyin God bich'į' nijichǫ'go bik'ijį' dzideesdzil. 
18:15:027:0	Jó, ałk'ízhniilk'aiigo hanii'jį' neesk'ah silį́į́'áádóó haníí' gónaa hak'ahígíí ahééhineesk'ool silį́į́'. 
18:15:028:0	Kin hadaas'áajį' doo na'adáágóó haz'ánígi kééhojit'į́áádóó kin doo bii' dahooghanii k'adę́ę ahiih nídaałdaasgo yáádaa'áa dooígi kééhojit'į́. 
18:15:029:0	Doo náázhdoot'įįł da, áádóó jit'ínígíí doo didoonaał da,índa nihokáa'gi doo hats'ííd nááhwiizhdooł'aał da. 
18:15:030:0	Chahałheeł doo bits'ázhdoogáał da;jidínóoséłígíí éí kǫ' ałtso yidoozis,áádóó biyol yee yóó'ahó'doosoł. 
18:15:031:0	Bíni' ádin'jidlo'ii éí t'áadoo biniyéhí daígíí t'áadoo beijólíhí doo;jó, t'áadoo biniyéhí daígíí k'ééhodidoodlííł. 
