38:8:001:1	Jerúsalem hasht'éédoo'níiłgo bee nihoot'ą́
38:8:001:0	T'áá ałtsoní bee Bóhólníihii shich'į' hanáánáádzíí', 
38:8:002:0	T'áá ałtsoní bee Bóhólníihii kóní, Záíyan baa łe'nisingo éí ts'ídá ayóó át'éego baa łe'nisin áádóó ayóó át'éego hashké nísdzingo baa łe'nisin. 
38:8:003:0	Bóhólníihii kóní, Dził Záíyangóó nídeeshdáałgo Jerúsalem kin haal'áagi kééhasht'į́į dooleeł, áko Jerúsalem éí kin haal'áii t'áá aaníinii hoolyée doo índa t'áá ałtsoní bee Bóhólníihii bidził éí dził diyinii hoolyée doo. 
38:8:004:0	T'áá ałtsoní bee Bóhólníihii kóní, Diné hadaastihii índa asdzání hadaastihii éí Jerúsalemgi kintah da'nítiingóó nidaháaztą́ą doo; t'áá íiyisí hadaastihgo biniinaa t'ááłá'í nítínígo bigish nideiditsi dooleeł. 
38:8:005:0	Áádóó kintah da'nítiingóó ashiiké índa at'éékéda t'óó ahayóigo nidaanée doo. 
38:8:006:0	T'áá ałtsoní bee Bóhólníihii kóní, Éí yoołkáałdi díí dine'é daadzíi'ii binááł bik'ee t'óó bił adahayóigo, da' shíísh ałdó' bik'ee t'óó shił ahayói doo? ní t'áá ałtsoní bee Bóhólníihii. 
38:8:007:0	T'áá ałtsoní bee Bóhólníihii kóní, Jó, ha'a'aahdę́ę́' áádóó e'e'aahdę́ę́' shidine'é yisdádeesh'nił. 
38:8:008:0	Áádóó nináhideesh'ishgo Jerúsalemgi kéédahat'į́įgo shidine'é danilį́į doo índa t'áá aaníinii áádóó t'áá ákogi át'éii bee biDiyin God nishłį́į doo. 
38:8:009:0	T'áá ałtsoní bee Bóhólníihii kóní, Kin bii' sohodizin ádoolnííł biniyé t'áá ałtsoní bee Bóhólníihii bikin bitł'ááh nástł'inii ályaa yę́ędą́ą́' dahalne'í bizaad díí yoołkáałdi dadoohts'a'ígíí háni'dii nihigaan bidziilgo ádeínóhsin. 
38:8:010:0	Háálá íídą́ą́' béeso bik'é na'anishígíí diné bá ádin nít'éé'; naaldlooshii ałdó' béeso yik'é nidoolnishii ádin nít'éé' índa ana'í biniinaa ła'da ch'ééjiidáhígíí índa yah áńjiidáhígíí ách'į' nida'jódlíí nít'éé', háálá shí t'ááłá'í jinítínígo bił kéédahojit'íinii bił ałk'ijį' dajídlį́įgo áhwíínísin nít'éé'. 
38:8:011:0	Nidi ch'óóshdą́ą́dą́ą́' ánísht'éé nít'é'ígi át'éego díí diné daadzíi'ii bich'į' k'ad doo ákónísht'ée da, ní t'áá ałtsoní bee Bóhólníihii. 
38:8:012:0	Jó, nihitahgóó k'é hólǫ́ǫgo ádeeshłííł, ch'il na'atł'o'ii bineest'ą' dahodooleeł áádóó łeeyi'dę́ę́' hadahidínóot'į́įłgo bik'ijį' dahtoo' naałtingo bee ída'azįįd doo, áko díí t'áá át'é diné daadzíi'ii bee bik'idahojidlíi dooleeł. 
