10:23:001:1	David éí akée'di saad yee hahaasdzíi'ii
10:23:001:0	K'ad díidíígíí David ts'ídá akée'di saad yee hahaasdzí'ígíí át'é : Jésii biye' David ání , éí diné wódahgo ábiilaiiJéíkab biDiyin God ak'ah yik'i yayiiziidgo yiyíísį́į'iiáádóó Ízrel dine'é bitahdóó sin nizhónígo yee hataałii ání ,
10:23:002:0	Bóhólníihii biNíłch'i Diyinii shee yáłti'go bizaad bee hahasdziih .
10:23:003:0	Ízrel dine'é biDiyin God kóní , Ízrel dine'é bitsé niłdzilii shich'į' yáłti'go ání , T'áá háiida dine'é binazhnit'áago t'áá ákogi ájít'ée doo ; Diyin God jidísingo hóhólníih doo .
10:23:004:0	Abínígo adididla'ígi át'éego abínígo k'os ádingo jį́honaa'éí haagháhígi át'éegoáádóó ałtso ahałtį́į́hdóó bik'ijį' tł'oh dit'ódí bik'i diidíingo haajah łeeígi át'éego azhdiníłdíin doo .
10:23:005:0	Da' sha'áłchíní náás ahoolchíiłiísh Diyin God doo bee bidahoníłdzil da doo ? Jó , ahóyéel'áágóó bibee aha'deet'áaniishił hasht'eyiilaa ; t'áá ałtsoní ákót'éego hasht'eyiilaii t'áá aaníinii át'é . Díí t'áá át'é bee yisdáhásháahii át'éáádóó t'áá át'é bídin nishłíinii át'é . Da' bíísh éí doo yee nihidínóoséeł da ?
10:23:006:0	Nidi diné doo yá'ádaashóonii biye'ké t'áá ałtso ch'il ahoshí nahgóó kól'įįhígi ádabidi'doolnííł , háálá éí doo yílá bee naaljooł da .
10:23:002:1	David bidiné ayóó ádaat'éii
10:23:007:0	Nidi t'áá háiida bizhdidoolchiłgo éí bee náhwiidzídí yee ahaniidiyooziłáádóó ahaniyiiziidígi ts'ídá ałtso ahididoolk'ą́ą́ł .
10:23:008:0	David bidiné ayóó ádaat'éii dah yoo'ishígíí éí kódaolyé : Tákmon dine'é Jósheb-bashííbet wolyéii éí siláo binanit'a'í alą́ąjį' yinanit'a'í nilį́įgo Ézen dine'é Adíno ałdó' yee dayózhí , áko éí bitsiidétáán yee tseebíidi neeznádiin diné t'áá łahjį' neistseed .
10:23:009:0	Áádóó bikéé'dóó éí Dódo biye' Eliyéízar éí Ahówa binálí ; David bidiné táa'go ayóó ádaat'éhígíí atah nilį́ ; éí Filístiya dine'é anaa' dahodoohłeeł yiniyé ahíikaigo bee nidahozhdeeshzhǫ' ; jó , Ízrel dine'é éí t'áá íídą́ą́' yóó'adahineezhchą́ą́' lá .
10:23:010:0	Nít'éé' bí éí naaldzilgo bíla' dínéesna'jį' Filístiya dine'é neistseed , áko diltłish yidiniiltsood , áko éí bijį́ Bóhólníihii éí ayóó át'éego hwee ak'eh deesdlį́į́' , áko naalye'é bąąh da'oogą́'ígíí t'éiyá biniyé diné hakéé' t'ą́ą́' nákai .
10:23:011:0	Náábíkéé' góne' sizínígíí éí Héíra dine'é ła' Éígii biye' Shámmah wolyé . Filístiya dine'é áłah ádzaago naa'ołí nímazí t'óó ahayóí háájéé' léi'gi ahíikai , áko Ízrel dine'é éí Filístiya dine'é yik'ee yóó'adahineezhchą́ą́' .
10:23:012:0	Nidi bí t'éí dá'ák'eh ałníi'gi sizį́įgo yich'ą́ą́h naazbaa' , áko Filístiya dine'é neistseed , áko Bóhólníihii éí ayóó át'éego hwee ak'eh deesdlį́į́' .
10:23:013:0	Nít'éé' tádiingo aląąjį' naazíinii dajílínígíí tájílt'éego dashdiikaigo da'agizhjį' ahoolzhiizhgo tsé'áán Adálam hoolyéejį' David baa jíkai , áko Filístiya bisiláo dah deínéehii éí Réfeiyim honíteelgi dah yinééł .
10:23:014:0	Íídą́ą́' David éí bidziilgo haz'ą́ągi dah yinééł , áko Filístiya bisiláo Béthlehem kin shijaa'di dah yinééł .
10:23:015:0	Áko nít'éé' David ání , Béthlehemdi dáń'dítį́hígi tó hahadleehdóó ła'da tó haa yókáałgo jódlą́ą́' laanaa .
