19:96:001:1	Aa ha'niihjí sin
19:96:001:0	Sin ániidíii bee Bóhólníihii bich'į' dahohtaałéii! Nahasdzáán nidahonees'ą́ą́dę́ę́' diné danohłíinii, t'áá ánółtso Bóhólníihii bich'į' dahohtaał! 
19:96:002:0	Bóhólníihii bich'į' dahohtaał. Bízhi' baa dahohniih. Bibee yisdá'iildéehii t'áá ákwíí jį́ baa ch'ídahoyoh'aah. 
19:96:003:0	Yee ayóó át'éii ał'ąą dine'é bitahgóó baa dahołne'; diné t'áá ałtso bitahgóó t'óó bik'eda'ayóigo ááníiłii bee bił dahołne'! 
19:96:004:0	Háálá Bóhólníihii ayóó át'é áádóó t'áá íiyisí baa ha'niihgo áádóó diyin dabidi'níinii t'áá ałtso biláahgo dólzingo yą́ą́h nilį́. 
19:96:005:0	Háálá ał'ąą dine'é yich'į' nidahałáii t'áá ałtso t'óó e'elyaii ádaat'éego doo dadiyin da, nidi Bóhólníihii éí yót'ááh hiníláii áyiilaa. 
19:96:006:0	Ił ídlį́ áádóó ayóó é'ét'é bináhaazlá. Bikin bii' sohodizin góne' dziil índa ayóó ánóolninii hólǫ́. 
19:96:007:0	Ał'ąą dine'é danohłíinii, nihił dah nahaz'ą́ą́dę́ę́' t'áá ánółtso Bóhólníihii baa dahohniih; Bóhólníihii yee ayóó át'éii índa bee adziil bee hólónígíí bee baa dahohniih! 
19:96:008:0	Bóhólníihii bízhi' ayóó át'éii yą́ą́h nilíinii bee baa dahohniih! Náádahidoołnihii deínóhjáahgo bikin bii' sohodizin góne' yah ahohkááh! 
19:96:009:0	Nihił dahodiyingo dahodíínóhsingo Bóhólníihii bich'į' nidahohłá! Nahasdzáán nidahonees'ą́ą́dę́ę́' diné danohłíinii, t'áá ánółtso hats'ąą dasooti'go dahodíínóhsin! 
19:96:010:0	Ał'ąą dine'é bitahgóó kódadohní, Bóhólníihii nant'á! Nahasdzáán ts'ídá doo nahjį' kódoolnííłgóó bohoníłdzilgo niiní'ą́. T'áá ákogi át'éego diné yaa nídóot'įįł. 
19:96:011:0	Yót'ááh hiníláii bił dahózhǫ́ǫ le'; nahasdzáán bił hózhǫ́ǫ le', tónteel áádóó bii' dahólóonii t'áá ałtso ayóó íits'a' le'! 
19:96:012:0	Dá'ák'eh áádóó bikáá' hólóonii t'áá ałtso bił dahózhǫ́ǫ le'! Áko índa tsin deíl'áhígíí t'áá ałtso bił dahózhǫ́ǫgo 
19:96:013:0	Bóhólníihii yinááł dahataał doo, háálá yíghááh; nahasdzáán nidahonees'ą́ąjį' haa nídóot'įįł biniyé yíghááh. T'áá ákogi át'éii yee nahasdzáán yaa nídóot'įįł; ba'ahódlíii bee nihokáá' dine'é yaa nídóot'įįł.
