23:55:001:1	Diyin God éí diné t'áá ałtso yich'į' bibee aa a'ááh hasin yeidlee'
23:55:001:0	Shoo , t'ááłá'í nootínígo dibáá' danohłíinii , hágo tó hólǫ́ǫjį' ahohkááh , áádóó nihibéeso ádaadinii , hágo kwe'é nida'iyołniih áádóó da'ohsą́ ; hágo , t'áá aaníí , béeso t'áágééd índa doo bą́ą́h ílínígóó wáin áádóó abe' nidahołniih .
23:55:002:0	Ha'át'íísh biniyé doo bááh nilíinii nihibéeso bik'é nidahohłé áádóó doo bee hwiih ídlíinii bik'é nidaołnish ? Haleebee dashíínółts'ą́ą'go yá'ádaat'éehii daohsą́ áádóó nihii' naazíinii áda'azįįd yee hwiih danilį́įgo bił dahózhǫ́ǫ doo .
23:55:003:0	Shich'į' dah dínóot'aahgo shaa nohkááh , da'íísínółts'ą́ą́' , áko índa nihii' naazíinii dahináa doo , áádóó hool'áágóó bidziilgo nihił aha'dideesht' áałii t'áá éí ajooba' doo nidoot'ihii David baa deet'áanii ádeeshłííł .
23:55:004:0	Jó , dadine'é yił halne' doo índa yá sizį́įgo áádóó yinanit'a'í nilį́į doo biniyé baa diní'ą́ .
23:55:005:0	Jó , dine'é ła' doo béédahonohsinii hágo dabididohniił , áádóó dadine'é doo nihéédahósinii Bóhólníihii nihiDiyin God áádóó Ízrel dine'é biDiyin nilíinii binahjį' nihaa hidookah , háálá éí ayóó ádanoht'éego ánihiilaa .
23:55:006:0	T'ah nihá ashja'ósindą́ą́' Bóhólníihii hádaoht'į́ ; t'ah kǫ́ǫ́ hólǫ́ǫ́dą́ą́' nídaohkąąh .
23:55:007:0	Diné doo yá'áshóonii yee át' éii bíni'dii yóó'iidi'aah , áádóó diné doo ákwii át'éii éí yaa nitsíkeesii bíni'dii yóó'iidi'aah , áko Bóhólníihii yich'į' dah nídiidáahgo baa a'ááh dínóozįįł , áádóó nihiDiyin God yich'į' dah nídiidzáago bił hadlee'go ha'át'e' há yóó'anéididoo'ááł .
23:55:008:0	Háálá bee nitséskeesii éí doo bił aheełt'éego bee nitsídaohkees da , índa ádanoht'éii éí ánísht'éii doo bił aheełt'ée da , ní Bóhólníihii .
23:55:009:0	Háálá yádiłhił éí nahasdzáán biláahdi hólónígi át'éego ánísht'éii éí ádanoht'éii biláahgo át'é , índa bee nitséskeesii éí bee nitsídaohkeesii biláahgo át'é .
23:55:010:0	Jó , yádiłhił biyi'dę́ę́' nahałtingo áádóó yas nandéehgo doo t'ą́ą́' kóná'néeh da , nidi nahasdzáán néíłtłeehgo bikáá' ch'il hááhinoot'į́į́ł áádóó bílátah da'iigahgo éí k'ééda'didléehii álástsii' bee dahodooleeł , áádóó da'ayáanii ch'iyáán bee dahodooleeł ;
23:55:011:0	shizaad shizéé'dóó hahwiileehígíí éí ákót'é ; doo t'áadoo biniyéhígóó shich'į' t'ą́ą́' kónídoo'níił da , nidi t'áá shił hóshónígíí ła'yidoolííł áádóó t'áá biniyé bee haasdzí'íjigo éí yá'át'éehgo ádoonííł .
23:55:012:0	Jó , nihił dahózhǫ́ǫgo ch'ídoohkah , áádóó hasht'ehodít'é bił ch'ínihi'didoot'ish ; dził áádóó dah daask'idii nihinááł adahodí'nóotał , índa kéyah bikáá' tsin t'áá ałtso ahídaakad doo .
23:55:013:0	Ch'il dadeeníinii bitsásk'ehgi ch'ó hadadínóot'į́į́ł , áádóó ch'il da'dishahii bitsásk'ehgi tsin mértal sikaadii hadadínóot'į́į́ł , áko índa Bóhólníihii bízhi' bi'dójíigo éí hool'áágóó bee ééhózinii nilį́įgo doo nahjį' kódoolnííłgóó ádoolnííł .
