26:27:001:1	Táir dine'é baa yínííł hasin
26:27:001:0	Bóhólníihii shich'į' haadzíi'go kóní, 
26:27:002:0	K'ad lą́ą, diné nílíinii, Táir baa nichago yínííł naniná, 
26:27:003:0	tónteel nihiníyį́į́dóó kéyah si'áanii Táir t'óó ahayóigo tónteel bibąąhgóó kéyah nahaz'ą́ą́góó dadine'é yił ahaa nida'iilniihii ábidiní, Bóhólníihii Diyin God kóní, Kéyah Táir yinílyéii, t'áá ałtsojį' hadanisht'éego shaa dzólní, diníi ni'. 
26:27:004:0	Ts'ídá t'áá íiyisí ahaa nida'iiniihígi taah yíní'á; hadandiilaii t'áá ałtsojį' ayóó áníínílningo ádaniilaa. 
26:27:005:0	Dził Sííner hoolyéédę́ę́' ch'ó bits'ą́ą́dóó tsin neheeshjíí' danteelgo daditánígíí t'áá ałtso ádayiilaa; Dził Lébanan hoolyéédę́ę́' dilk'is ła' nídeizhjaa'go éí bee tsinaa'eeł bit'a' bá íí'áhígíí ná ádayiilaa. 
26:27:006:0	Béíshan hoolyéédę́ę́' chéch'il bee tsinaa'eeł bee naal'eełígíí ná ádayiilaa, Sáípras kéyahdóó éí tónteel bibąąhgóó nídíshchíí' deíl'áhígíí tsin neheeshjíí' ádaalyaago nitsinaa'eeł bikáá'dę́ę́' dah náhást'ą́ągi nideiskaad, áádóó éí áívori wolyéii yee nideizhch'ąą'. 
26:27:007:0	Niníbaal biníyolgo na'a'eełii Ííjip kéyahdę́ę́' áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo bee ályaii bibąąhgóó naashch'ąą'go éí nitsinaa'eeł bit'a' nít'éé'; Iiláísha hoolyéedi tónteel bibąąhgóó kéyah hadaaz'áádę́ę́' na'at'ą́hí yá nahalingo dootł'izh áádóó tsídídééh nahalingo łichí'ígíí bee nichaha'oh nít'éé'. 
26:27:008:0	Sáídan índa Árvad kin haal'áádóó diné kéédahat'íinii éí oo'ołgo tsin bee na'al'eełí ná nideilo' nít'éé'; Táir nílíinii, dine'é dahóyáanii nee hólǫ́ǫgo éí ná nida'ał'eeł nít'éé'. 
26:27:009:0	Gííbal kin haal'áádę́ę́' hastóí danilíinii áádóó bidine'é naanish dayiichįįhii niyi'di tó tsinaa'eeł bighá daazlį́į́góó yidanída'di'a'go nee hólǫ́ǫ́ nít'éé'; tsinaa'eeł t'áá ałtso nideił'eełii t'áá bóóltą'go ninaalyéhé yił ałgháá' da'ii'níiłgo nee hólǫ́ǫ́ nít'éé'. 
26:27:010:0	Pérzha kéyahdę́ę́' áádóó Lud kéyahdę́ę́' índa Put kéyahdę́ę́' siláo éí nisiláo dah yinéełii yił nidaabaah dooleeł biniyé da'atah nít'éé': niyi'dę́ę'go binaage' áádóó bibéésh ch'ah dah nídeidiyii'nił nít'éé', ts'ídá t'áadoo bee níínílninígóó ádanóhsin nít'éé'. 
26:27:011:0	Árvad dine'é éí nisiláo bił ninaa ahééda'astł'inígíí yikáá'dóó dah naazį́įgo naa ádahalyą́ą́ nít'éé'. Nidiné dahayóii Gámadim daolyéii ha'alzííd biniyé yada'niiltł'ónígíí biyi'dę́ę́' binaage' dah nídeidiyii'nił nít'éé'; t'áá ałtsojį' ayóó áníínílningo ádaniilaa. 
26:27:012:0	Ts'ídá t'áá ałtsojį' ít'ínígíí biniyé Társhish nił ahaa na'iilniih nít'éé', ninaalyéhé biniyé béésh łigaii áádóó béésh nitł'izii áádóó béésh kágí índa dilyį́hí nił ałgháá' da'ii'nííł nít'éé'. 
26:27:013:0	Jéívan dine'é áádóó Túbal dine'é índa Mííshek dine'é nił ahaa nida'iilniih nít'éé': ninaalyéhé biniyé diné danilíinii áádóó łeets'aa' béésh łitsoii bee ádaalyaii diné baa nida'iiniihígíí yił ałgháá' da'ii'nííł nít'éé'. 
26:27:014:0	Togármah dine'é éí łį́į́' áádóó łį́į́' nidabiyéii índa dzaanééz nee hólóonii biniyé diné baa nida'iiniihii yił ałgháá' da'ii'nííł nít'éé'. 
26:27:015:0	Díídan dine'é naalyéhé nił ałgháá' da'ii'nííł nít'éé'; tónteel bibąąhgóó kéyah t'óó ahayóígíí naa nida'iiłniih nít'éé': áívori áádóó tsin ébonii nidayiijáahgo naa dayiinííł nít'éé'. 
