3:19:001:1	Hodílzinjí áádóó t'áá ákogi át'ééjí bee nahaz'áanii
3:19:001:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:19:002:0	Ízrel dine'é dah yinéłígíí t'áá ałtso bich'į' handziihgo kóbidiní , Dadinohyin doo , jó , shí Bóhólníihii nihiDiyin God ts'ídá dinishyin .
3:19:003:0	T'áá ánółtso nihimá índa nihizhé'é nihił danilį́į doo , áádóó shiháá'áyį́į́h jį́ hodiyingo ádeínóhsin doo ; jó , shí Bóhólníihii nihiDiyin God nishłį́ .
3:19:004:0	Eda'alyaii ts'ídá t'áadoo bich'į' nidahohłáhí índa ha'át'íhída dadołhį́įhgo bee diyin dabidi'níinii t'áadoo ádá ádaohłe'í ; jó , shí Bóhólníihii nihiDiyin God nishłį́ .
3:19:005:0	Áádóó náádadi'yoołnihgo nááhidoonihii hózhǫ́ǫ́jí nááhániihii át'éego Bóhólníihii bich'į' náádahołniihgo t'áá nihí ádeinohsingo náádahołniih doo .
3:19:006:0	Áko nááhaaznii'ii bitsį' t'áá nááhaaznii' bijį́ áádóó biiskání ałdó' doodį́į́ł , áádóó táá' yiską́ągo ła' t'áá bi'oh nida'iisdą́ą'go éí didoodlił .
3:19:007:0	Táá' yiską́ągo ła' yidą́ą'go éí t'óó baa'ih silį́į' dooleeł ; éí doo dínóodzįįł da .
3:19:008:0	Éí bąą t'ááłá'í jinítínígo éí jííyą́'ígíí t'áá hó doo ákwii ájíít'įįdígíí ts'ídá bee hohodiit'i' doo , háálá Bóhólníihii bíi'ii diyinígíí jííłchxǫ' , áko éí hodine'é bits'ą́ąjį' hodi'yoolyééł .
3:19:009:0	Áádóó nihikéyahgi da'ohizhgo dá'ák'eh nídaastł'ahgóó t'áadoo ałtso daohizhí ; da'ohizhgo nidahineezdee'ígíí t'áadoo nídahohłáhí .
3:19:010:0	Nihich'il na'atł'o'ii bi'oh da'éébį́'ígíí t'áadoo deínóhbéhí ; doodaii' bineest'ą'ígíí t'áadoo ałtso nídeínóhbeehí ; badahojoobá'ígíí índa dé'éyóní danilíinii bá áádahohsįįh doo ; jó , shí Bóhólníihii nihiDiyin God nishłį́ .
3:19:011:0	Ts'ídá doo adíníí'į́įł da , doodaii' ts'ídá doo na'adlo' nahidííłdił da , doodaii' ts'ídá doo wooch'ííd ałk'ijį' dzis'ą́ą da .
3:19:012:0	Ts'ídá doo t'áá ádzaagóó shízhi' bee ádee hadidíídzih da , doodaii' nihiDiyin God bízhi' ts'ídá doo t'óó bóhólnííhgóó bee hadíídzih da ; jó , shí Bóhólníihii nishłį́ .
3:19:013:0	Bił kééhót'íinii ts'ídá doo bi'dííloh da , doodaii' ts'ídá doo bee adíníí'į́įł da ; adeenáago naalnishí yik'é naashnishii t'áadoo bits'ą́ą́' nanijaahgo néílkáhí .
3:19:014:0	Diné bijééhkałii doo bee yídíídzih da , doodaii' doo oo'íinii t'áadoo le'é yik'ą́ą́h didooltałii t'áadoo bidáahjį' ahíníłí , nidi niDiyin God díínísin ; jó , shí Bóhólníihii nishłį́ .
3:19:015:0	Doo t'áá ákogi át'éii bee t'áadoo á nihodiyí'aahí ; diné bahojoobá'íii t'áadoo a'ohgo nił nilíní , doodaii' diné ayóó át'éii t'áadoo a'ohgo nił nilíní , nidi t'áá ákogi át'éego bił kééhót'íinii bá nihodiyí'aah .
3:19:016:0	T'áadoo nidine'é bitahgóó aseezį́ baa nanináhí , doodaii' t'ááká bił kééhót'íinii bidił deezlį́ óólééh lágo baa síníti' . Shí Bóhólníihii nishłį́ .
3:19:017:0	T'áadoo nihijéí bee nihik'is bik'ee diníniihí ; t'áádóo nídí bił kééhót'íinii didííteh , áko doo dínítehgóó ádił ni'iidzííh bá ninádíítłish .
3:19:018:0	Nidine'é t'áadoo k'éédíł'íní , doodaii' nidine'é t'áadoo bidinilkaalgo bik'ijį' nílíní , nidi bił kééhót'íinii ts'ídá ayóó'ííní'níi doo ; t'áá ni ayóó'ádííní'nínígíí bił aheełt'éego , jó , shí Bóhólníihii nishłį́ .
3:19:019:0	Bee nihodiyé'áanii bik'eh ádanoht'ée doo . Danilį́į́' t'áá ał'ąą át'éii t'áadoo ałtah nídaajahgo ahá nida'iilchíihgo íínísiní ; álástsii' ał'ąą át'éii ałtaa násdziidgo t'áadoo nidá'ák'ehgóó k'éédídléhí ; na'at'ą́hí t'áá ał'ąą át'éii bee éé' ályaii t'áadoo biih nánídáhí .
3:19:020:0	Asdzání naalte' jílį́įgo diné ła' baa ho'deet'ą́ągo , nidi doo t'ą́ą́' nááho'diiznii'góó t'ah naalte' jílį́įgo t'áá háiida hoł neezhtéezhgo baa náhódóot'įįł . Doo jidínóonéeł da , háálá asdzání t'ah naalte' nilį́ .
3:19:021:0	Áádóó diné éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii át'éego Bóhólníihii bich'į' nááhizhdoołnih ; níbaal bii' dahozdísinii bich'éédą́ą'jį' deenásts'aa' nizhdoolóós .
3:19:022:0	Náá' iiłniihii éí há bee k'ééhodoodǫǫłii deenásts'aa' doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii át'éego Bóhólníihii binááł nááhizhdoołnihgo ádił adzisiihígíí ájíít'įįdígíí biniyé náájiisnii' doo , áko ádił adzisiihgo ájíít'įįdígíí há yóó'anídidoot'ááł .
3:19:023:0	Áko kéyah biih woonáago ch'iyáán biniyé tsin ał'ąą ádaat'éii k'edasidooláago dabineest'ą'ígíí doo yidáanii át'éego baa nitsídaohkees doo ; táá' nááhaijį' t'ááká ła' daohsą́ą́' lágo , ííshją́ą́ ts'ídá doo doodį́įł da .
3:19:024:0	Nidi dį́į́' náhááh góne' daneest'ánígíí t'áá át'é dílzingo ats'ádidoot'áałgo bee Bóhólníihii baa ha'niih doo .
3:19:025:0	Áádóó ashdla' náhááh góne' daneest'ánígíí éí daohsą́ą doo , áko t'óó ahayóí nihá níná'nít'į́įh doo ; jó , shí Bóhólníihii nihiDiyin God nishłį́ .
3:19:026:0	T'áá ha'át'íhída bidił doo t'áá bił daohsą́ą da doo ; álíleego bee ééhózingo bee nahagháii , doodaii' náásgóó bee ééhodoozįįłgo bíká nahagháii t'áadoo chodaoł'íní .
3:19:027:0	Nihítł'ahgi nihitsii' doo dadoohshih da ; nihidághaa' bibąąhgóó doo dahidooshih da .
3:19:028:0	Daneeznáanii bá danihits'íís t'áadoo ahidaohgéshí , doodaii' doo nihik'i da'ashchį́į da doo ; jó , shí Bóhólníihii nishłį́ .
3:19:029:0	T'áadoo nitsi' ałjiłnii bee doo ílį́į́góó áníł'íní ; éí doodaii' nihikéyahgi ajił k'ee'ąą doolzhishgo doo yá'áshóonii t'óó ahodooyóí .
3:19:030:0	Áádóó shiháá'áyį́į́h jį́ hodílzingo ádeínóhsin , índa shihodiyingo haz'ánígíí dadíínóhsin doo ; jó , shí Bóhólníihii nishłį́ .
3:19:031:0	Ch'į́įdii yádabiiłti'ii , doodaii' da'diłgąshii t'áadoo bich'į' choda'ooł'íní , doo nidi bee ádadidoołchxǫǫł da . Shí Bóhólníihii nihiDiyin God nishłį́ .
