19:62:001:1	Psalm . lxij .
19:62:002:1	¶ Nonne Deo subiecta .
19:62:001:0	YS eto y mae vy eneit yn tewi wrth Ddew : o hanaw [ y daw] vy iachyt .
19:62:002:0	Ys efe yw vy nerth am iechyt , a’m’ ymddeffen : am hynny ni’m mawr yscogir .
19:62:003:0	Yd pa hyd y cynllwynwch yn erbyn dyn ? ich lleddir oll , chwi vyddwch val magwyr ogwyddedic , [ neu] val paret a siglit .
19:62:004:0	Er hyny wy ymgygorant yw vwrw ef y lawr o’i vawredd : ei gwynvyd yw celwyð , wy vendithiant a ei genae a’ melltithio ai calon . Sélah .
19:62:005:0	Er hyny vy enait , taw son wrth Ddew : can ys ynthaw y mae vy-gobaith .
19:62:006:0	Er hyny efe yw vy nerth , am iechyt , a’m ymddeffen [ am hyny] ny’m escogir .
19:62:007:0	Yn-Dew [ y mae] vy iachyt a’m gogoniant , craic vy-cedernit : yn-Dew [ y mae] vy amddiriet .
19:62:008:0	Ymddiriedwch ynthaw bop amser , chwichwi popul : dinéwch eich calonae geyr y vron ef , [ can ys] Dew [ yw] ein gobeith . Sélah .
19:62:009:0	Eithr plant dynion gwagedd [ ynt] , ys celwydd yw’r pennaethieit : o’i dodi yn y clorianeu , yscafnach ytynt y gyd oll na’r gwegi .
19:62:010:0	Nag ymddiriedwch yn [ trawsinep] na chribddail : na vyddwch weigion , a’s angwanega golud , na ’osotwch eich calon [ arnaw] .
19:62:011:0	Dew y ðywedawdd vnwaith a’dwywaith , mi a glyweis hyn , mae y Ddew [ y mae y] cedernit .
19:62:012:0	Ac y ti Arglwydd [ y mae] trugaredd : can ys gobrwy y ddyn erwydd ei weithred .
