2:36:001:1	Diné éí aa doolyéełii lą'í nidayiizhjaa'
2:36:001:0	Biizáliyel áádóó Ahóliyab índa diné náádaała' éí níbaal bii' hodílzinii ádoolníiłgi binda'doonishígíí t'áá ałtso hoł béédahózin doo biniyé Bóhólníihii da'jiichįįhgo índa ak'idazhdi'yiitįįhgo áhoolaii éí Bóhólníihii hach'į' yee haadzíi'ii t'áá ałtso bik'ehgo binjilnish nít'éé'. 
2:36:002:0	Íídą́ą́' Mózes éí Biizáliyel áádóó Ahóliyab yíká ádííniid, áádóó Bóhólníihii éí diné náádaała' bíni' bíighahgo iichįįhgo át'é hwiindzin bii' hólǫ́ǫgo áyiilaaígíí t'áá éí adiih ádaat'į́įgo atah nideeshnish daniizį́'ígíí ałdó' Mózes háká ádííniidgo 
2:36:003:0	Ízrel dine'é éí níbaal bii' hodílzinii bee ádoolnííł biniyé nidayiizhjaa'ígíí t'áá ałtso Mózes haa yiiznil. T'áá ákwíí ábíní t'áá hó daznízinígíí bik'ehgo Bóhólníihii baa nídahizhdi'aahígíí t'ah nidajiijááh, 
2:36:004:0	áko naanish dayiichįįhii t'áá ałtso níbaal bii' hodílzinii t'áá át'é yindaalnishígíí éí t'ááłá'í nítínígo nidaalnishídę́ę́' nidahaaskai, 
2:36:005:0	áádóó Mózes yich'į' yádaałti'go ádaaní, Diné t'áá áchą́hwíídéeni'go nida'iijáahgo bindeiilnishii bilááh danéés'ąąd; éí Bóhólníihii yich'į' nihííł'aad. 
2:36:006:0	Ákohgo Mózes hach'į' yee haadzíi'go níbaal haal'áhígóó t'áá át'é hazhó'ó baa nídahojoolne'go diné áádóó asdzání éí níbaal bii' hodílzinii bee adoolnííł biniyé bá nidahizhdi'aahígíí k'adí doo; t'áadoo nidahohjáhí, deidííniid. Áko Mózes yee haadzí'ígíí bik'ehgo doo ła' náádeíjáah da, 
2:36:002:1	Níbaal bii' hodílzinii álnéhígíí
2:36:007:0	háálá yee nidadoolnishígíí dabíighah áádóó t'áá bilááh danéés'ąąd. 
2:36:008:0	Ákohgo diné bitahdóó naanish dayiichįįhígíí éí níbaal bii' hodílzinii bitis hííkaadígíí neeznáá ádayiilaa; éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí áádóó łichxí'ígíí índa áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' yistł'ǫ́ǫgo diyingo nidaal'a'í chérabim wolyéii bik'i danízį́įgo nidaashch'ąą'go dayiichįįhgo ádayiilaa. 
2:36:009:0	Éí t'ááłá'í níłtsoozígo dízdiindóó ba'aan naaki ké silá ádaníłnééz, áádóó t'ááłá'í níłtsoozígo hastą́ą́h ké silá ádaníłtéél; t'áá ałtso t'áá ahee daníłtso. 
2:36:010:0	Áko Biizáliyel éí atis ahííkaadígíí ashdla'go ahídayiishcha' áádóó náá'áshdla'go t'áá ákónáánát'éego ahínáádayiishcha'. 
2:36:011:0	Áádóó áłtsé ahídayiishcha'ígíí bibąąhgi na'at'ą́hí yá nahalingo dootł'izhígíí łoh bąąh yí'nilgo áyiilaa; naaki góne' ahídayiishcha'ígíí t'áá ákónáánát'éego łoh bąąh yí'nilgo ánááyiidlaa. 
2:36:012:0	Ła' bibąąhgi łohígíí ashdladiingo bąąh yí'nilgo áyiilaa, áádóó naaki góne' ahídayiishcha'ígíí ła' bibąąhgi łohígíí ashdladiingo bąąh yí'nilgo ánááyiidlaa; ałnaashiijí łoh bąąh yí'nilíjį' ahihidiiłtsooz. 
2:36:013:0	Áko óola ashdladiingo ił dah nídaatį́į́h dooleełígíí áyiilaa, áko bitis hííkaadígíí ahihidiiłtsoozgi łoh bąąh yí'nilígíí óola ił dah nátį́hí yee da'ahótą'go áyiilaa, ákohgo níbaal t'áá ła' bizhi' ee si'ą́ silį́į́'. 
2:36:014:0	Áádóó níbaal bii' hodílzinii bitis hííkaadígíí tł'ízí bighaa' bee yistł'ǫ́ǫgo ła'ts'áadahgo áyiilaa. 
2:36:015:0	Díí bitis hííkaadígíí t'ááłá'í níłtsoozígo dízdiindóó ba'aan ashdla' ké silá ádaníłnééz, áádóó t'ááłá'í níłtsoozígo hastą́ą́h ké silá ádaníłtéél; ła'ts'áadahgo bitis hííkaadígíí t'áá aheedaníłtso. 
2:36:016:0	Éí ashdla'go t'áá sahdii ahídayiishcha', áádóó hastą́ągo ałdó' t'áá sahdii ahínáádayiishcha'. 
2:36:017:0	Áádóó áłtsé ahídayiishcha'ígíí bibąąhgi łoh ashdladiingo bąąh yí'nilgo áyiilaa, índa naaki góne' ahídayiishcha'ígíí t'áá ákónáánát'éego łoh ashdladiingo bąąh yí'nilgo ánááyiidlaa. 
2:36:018:0	Ahidahidiiłtsooz dooígíí biniyé béésh łitsoii ił dah nídaatį́hí ashdladiingo ádayiilaa; éí bee da'ahótą'go níbaal t'áá ła' bizhi'ee si'ą́ą dooleeł. 
2:36:019:0	Éí bikáa'gi deenásts'aa' bikágí daaldzą́ągo deilchii'go táá' góne' atis ahííkaadígíí áyiilaa; náábíkáa'di índa nahashch'id bikágí daaldzą́ągo dį́į́' góne' atis ahííkaadígíí ánááyiidlaa. 
2:36:020:0	Tsin nitł'izii bee tsin neheeshjíí' ályaii níbaal bii' hodílzinii bá ahééneelkáal dooígíí ánááyiidlaa. 
2:36:021:0	Tsin neheeshjíí' t'ááłá'í nítánígo ashdla'áadah ké silá ádaníłnééz, áádóó t'ááłá'í nítánígo táá' ké silá ádaníłtéél. 
2:36:022:0	Tsin neheeshjíí' t'ááłá'í nítánígo t'áá ahedaałt'éego biyaadóó naaki bąąh hada'az'áago áyiilaa; kót'éego níbaal bii' hodílzinii bá tsin neheeshjíí' t'áá ałtso áyiilaa. 
2:36:023:0	Níbaal bii' hodílzinii bá tsin neheeshjíí' éí shádi'ááhjí naadiingo noolkáal dooígíí áyiilaa. 
2:36:024:0	Áádóó dízdiingo béésh łigaii biih dahasdzą́ągo tsin neheeshjíí' naadiingo bitł'ááh naaznil doo biniyé áyiilaa; tsin neheeshjíí' t'ááłá'ígo biyaadóó naaki bąąh ha'íí'áago áyiilaaígíí bá atł'ááh sinilii naakigo biih dahasdzánígíí t'áá ahedaałt'éego áyiilaa. 
2:36:025:0	Áádóó níbaal bii' hodílzinii bá tsin neheeshjíí' náhookǫsjí neelkáal dooígíí naadiingo ánááyiidlaa, 
2:36:026:0	índa dízdiingo béésh łigaii biih dahasdzą́ągo tsin neheeshjíí' bitł'ááh naaznil doo biniyé ałdó' ánááyiidlaa; tsin neheeshjíí' t'ááłá'ígo bitł'ááh sinilii naakigo biih dahasdzánígíí t'áá ahedaałt'éego ánááyiidlaa. 
2:36:027:0	Áádóó níbaal bii' hodílzinii bá e'e' aahjí tsin neheeshjíí' hastą́ągo ánááyiidlaa. 
2:36:028:0	Índa níbaal bii' hodílzinii bikéé'jí naanáz'áhígi éí t'áá ałch'ijí bá tsin neheeshjíí' naakigo yaa'áa doo biniyé áyiilaa. 
2:36:029:0	Áko bitł'áahdi t'éiyá t'óó ahidii'á, nidi dego yaa'áhíjį' béésh názbąsii áłtsé bąąh si'ą́ągo ałch'į' yótą'go t'áá ałch'ijí bee nástł'ahgi ákót'éego áyiilaa. 
2:36:030:0	Ákohgo tsin neheeshjíí' tseebíigo áádóó bitł'ááh naaznil dooígíí béésh łigaii biih dahasdzą́ągo hastą́'áadahgo áyiilaa; tsin neheeshjíí' t'ááłá'í nítánígo naaki bitł'ááh naaznil. 
2:36:031:0	Áádóó tsin nitł'izii bee tsin níyizii ashdla'go níbaal bii' hodílzinii booshk'iizhjí naaniigo bąąh daní'áa doo biniyéhígíí áyiilaa, 
2:36:032:0	áádóó náánáłahjí booshk'iizhjí ałdó' ashdla'go naaniigo bąąh daní'áa doo biniyé, índa náá'áshdla'go éí níbaal bii' hodílzinii e'e'aahjígo ałdó' naaniigo bąąh daní'áa doo biniyé áyiilaa. 
2:36:033:0	Ałníí'góó ní'áa dooígíí éí t'áá níléijį' ha'naa hadii'áago áyiilaa. 
2:36:034:0	Óola éí tsin neheeshjíí' bik'i naazkaadgo áyiilaa, áádóó naaniigo bąąh daní'áa dooígíí éí óola bąąh yí'nilgo tsin níyizii éí bii' nídaditsih dooígíí ałdó' áyiilaa, índa tsin níyizgo ii' nídaditsih dooígíí ałdó' óola bik'édaasti'go áyiilaa. 
2:36:035:0	Áádóó ata'naníbaal dooígíí éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts' óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' yistł'ǫ́ǫgo diyingo nidaal'a'í chérabim wolyéii bee nidaashch'ąą'go dayiichįįhgo ádayiilaa. 
2:36:036:0	Áko ata'naníbaal dooígíí bá tsin nitł'izii dį́į'go ííyah danii'áii adaaz'áa dooígíí óola bik'édaasti'go áyiilaa, áádóó óola bąąh hadaazhahgo áyiilaa, índa tsin nitł'izii bitł'ááh sinilígíí dį́į'go béésh łigaii doolyį́į'go t'ááłáhíjí biih dahasdzą́ągo áyiilaa. 
2:36:037:0	Níbaal bii' hodílzinii bich'é'étiingi dáádiníbaalígíí éí yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' yistł'ǫ́ǫgo naashch'ąą'go áyiilaa. 
2:36:038:0	Áádóó éí bá tsin nitł'izii ashdla'go bąąh hadaazhahii t'áá yił ííyah danii'áii áyiilaa; éí bílátahjį' dah naaznilígíí áádóó bita'ndaaz'áhígíí óola bik'édaasti'go áyiilaa, nidi ashdla'go bitł'ááh naaznil doo biniyé t'ááłáhíjí biih dahasdzánígíí béésh łitsoii yee áyiilaa.
