9:9:001:1	Saul aláahgo naat'áanii biniyé nábi'diiltį́
9:9:001:0	Diné léi' Bénjamin dine'é nilíinii Kish wolyé . Kish éí Éíbiyel biye' , Éíbiyel éí Zíírar biye' , Zíírar éí Biikórath biye' , Biikórath éí Afáíyah biye' , Afáíyah éí Bénjamin dine'é nilį́ . Kish wolyéhígíí at'į́ áádóó bóhólnííh ,
9:9:002:0	áádóó hó haye' hólǫ́ , éí Saul wolyé ; éí diné ániid naagháii bíiyisii nilį́ . Ízrel dine'é bitahdóó doo ła' haláahgo bíiyis da ; t'áá íiyisí diné nineezii jílį́ , áko diné t'áá ałtso t'áá hawosígo ádaníłtso .
9:9:003:0	Áko Saul bizhé'é Kish bitélii yóó'ííjéé' . Ákohgo Kish éí biye' Saul áyidííniid , Nílááh , naal'a'í ła' nídiiłteehgo télii hanohtá .
9:9:004:0	Áádóó Dził Íífreiyim báhátis jíí'áázh , áádóó Shaláísha nahós'a' biyi'góó ch'ízhní'áázh , nidi t'áadoo bik'ínizhnítą́ą' da . Áádóó kéyah Shéílim nahós'a' biyi'góó ch'ízhní'áázh , áko ákwe'é nidi ádin . Ákohgo Bénjamin dine'é bikéyah biyi'góó ch'ínáájít'áázh , nidi t'áadoo bik'ínizhnítą́ą' da .
9:9:005:0	Ákohgo Zuf hoolyéegi jiní'áazhgo há naal'a'í bił joo'ashígíí ábijiní , Tį' , t'ą́ą́' nikéédiit'ash ; shizhé'é daats'í télii yaa yooznahgo , jó , nihída nihikéé' bíni' íí'á .
9:9:006:0	Nidi naal'a'í ádííniid , Jó , diné léi' Diyin God bił hólóonii díí kin haal'áhígi kééhat'į́ , áádóó éí diné ił nilíinii nilį́ ; t'áá ałtsoní yee hahadziihii t'áá aaníí neheleeh . Sołtį' , ákǫ́ǫ́ diit'ash ; eii shį́į́ náádiit'ashgóó yee nihił hodoolnih .
9:9:007:0	Ákohgo Saul há naal'a'í ábizhdííniid , Nidi ákǫ́ǫ́ diit'áazhgo ha'át'íishą' díí diné baa diilyééł ? Háálá díí nihi'azis biyi' ch'iyáán ásdįįd áádóó bik'é nidoolyéełgo diné éí Diyin God bił hólóonii baa diilyéłígíí ádin . Ha'át'íísh ałdó' nihee hólǫ́ ?
9:9:008:0	Áko naal'a'í éí Saul ánéidoo'niid , Na' , kǫ́ǫ́ béésh łigaii shékel wolyéhígíí dį́į'go shijaa'ígíí t'ááłá'í si'ą́ bíighahgo shee hólǫ́ , áko diné éí Diyin God bił hólóonii baa deeshniłgo náádiit'ashgóó yee nihił hodoolnih .
9:9:009:0	( Ałk'idą́ą́' Ízrel dine'é bitahgi Diyin God neízhdídóołkiłgo ájíniih , Sołtį' , diné náásgóó ádahodooníiłii yaa halne'ii bich'į' diikah ; jó , éí k'ad Diyin God yá halne'ii wolyéhígíí éí ałk'idą́ą́' náásgóó áhodooníiłii yaa halne'ii wolyéé nít'éé' . )
9:9:010:0	Ákohgo Saul éí bá naal'a'í áyidííniid , Yá'át'éhígi ádííníniid , sołtį' , ákǫ́ǫ́ diit'ash . Ákohgo kin haal'áágóó diné éí Diyin God bił hólóonii kééhat'ínígi jiní'áázh .
9:9:011:0	Ákohgo kin haal'áhígíí bich' į' dah yisk'id góde joo'ashgo ch'ikéí tó hadeidiyoolohgóó deíkáahgo bidááshní'áázh , áko ádabizhdííniid , Da' diné náásgóó áhodooníiłii yaa halne'iísh kwe'é naaghá ?
9:9:012:0	Nít'éé' ádahodííniid , Aoo' , kwe'é naaghá ; jó , t'áá nihítséedi níyá . Tsxį́įłgo óht'į́ , jį́į́dą́ą́' díí kin haal'áhígi níyá , háálá aláahdi yanáalk'id bikáa'gi díí jį́ diné nááda'iiłniihgo yaa nídiikai .
9:9:013:0	T'áá kin haal'áhíjį' oo'áázhgóó bik'ídínóotááł ; t'ah doo aláahdi yanáalk'id góde i'niiyą́ą́' yiniyé dah diighááhgóó , háálá bí áadi yigháahgo índa diné ida'niiyį́į́h ; jó , hó nááhidoonihii bik'i sozdilzįįh , áádóó índa hágo dabidi'niihgo nehekáhígíí da'ayį́į́h . K'ad ákóde dooh'ash , háálá t'áadoo hodina'í bik'ídooh'ash .
9:9:014:0	Ákohgo kin haal'áá góde jiní'áázh . Ts'ídá k'adę́ę kintah góne' aji'aashgo , shoo , aláahgo yanáalk'id góde Sámuel deeyáago hadááh níyá .
