24:18:001:1	Ásaa' ííł'íní hashtł'ish yinaalnishgo bits'ą́ą́dóó na'nitinii
24:18:001:0	Bóhólníihii kót'éego Jeremáíyah yich'į' hanáánáádzíi'go kóní, 
24:18:002:0	Nídiidáahgo ásaa' ííł'íní bighangóó dínááh; áadi shizaad didííts'į́į́ł. 
24:18:003:0	Ákohgo ásaa' ííł'íní bighangóó níyáá nít'éé', ásaa' bee ál'íní náyoołhisgo naalnishgo yiiłtsą́. 
24:18:004:0	Áko ásaa' áyiilaaígíí dah yidii'ą́ą́ nít'éé' yíchxǫ' lá, áádóó t'áá éí hashtł'ish ałtso tááyoos'nii'go t'áá bí ásaa' ííł'íní nilíinii ts'ídá bił yá'át'éhígíí ła' ánááyiidlaa. 
24:18:005:0	Nít'éé' Bóhólníihii shich'į' hanáánáádzíi'go kóní, 
24:18:006:0	Ízrel dine'é nohłíinii, díí ásaa' ííł'íní ádzaaígíigi át'éego ánihideeshłíiłgo bíneesh'ą́. Jó, ásaa' ííł'íní hashtł'ish bílák'ee si'ánígi át'éego dah niheeshjih, Ízrel dine'é danohłíinii. 
24:18:007:0	T'áá nahalzhiishee ła' dine'é kééhat'į́, éí doodaii' bee óhólníihgo bił haz'ą́ą́dóó nahjį' hahodeeshnił áádóó doo da'jílį́į́góó ádahodeeshłíiłgo atíhodeeshłííł, dishníigo baa yáshti'go, 
24:18:008:0	éí dine'é bik'ijį' nishłį́įgo yááłti'ii doo yá'ádaashóonii yaa nidaakaígíí yits'ą́ąjį' dah nídahidiikaigo shí ałdó' doo yá'át'éhígi áhodeeshłííł yę́ę łahgo át'éego baa tsíńdeeskos. 
24:18:009:0	Áádóó t'áá nahalzhiishee ła' dine'é índa bee óhólníihgo bił haz'áanii t'óó ahayóigo ádeeshłííł áádóó bik'ijishdlíi dooleeł, dishníigo baa yáshti'go, 
24:18:010:0	éí dine'é doo shik'eh dahojíł'į́į́góó shinááł doo yá'áshóonii baa jookahgo, áko bee ak'ijishdlíi dooleeł, dííniidígíí éí łahgo át'éego baa tsíńdeeskosgo doo ádeeshníił da. 
24:18:011:0	Éí bąą kódíníigo Júdah dine'é índa Jerúsalem kin haal'áagi kéédahat'íinii k'ad bich'į' handziih, Bóhólníihii kóní, Doo yá'áshǫ' nihiniyé áshłaa, áádóó doo yá'át'ééhgóó nihinahosí'ą́, áko t'ááłá'í nootínígo doo yá'áshóonii baa naahkaii bits'ą́ąjį' k'ad naa náohkááh. Índa baa nidaohkaígíí áádóó ádaohníłígíí yá'át'éehgo ádaahłééh. 
24:18:012:0	Nidi doo nihá chohoo'į́į da, daaní, nidi t'áá nihí nihinahat'a' bik'ehgo deíníikáah doo, áko t'ááłá'í niitínígo nihijéí doo yá'áshóonii bee doo nihída'didzilgóó deíníikáah doo. 
24:18:013:0	Éí bąą Bóhólníihii kóní, Ízrel ch'ikę́ę́h t'ah doo diné bee haleehii t'áá íiyisí t'óó baa'ihígi áát'įįd. Díigi át'éhígíishą' háí lá yaa hodiizts'ą́ą́'? diníigo ał'ąą dine'é bitahgóó bína'ídíł kid. 
24:18:014:0	Lébanan dziłghą́ą'di tsé'éłkáá'góó doo nída'oodlíid da; áádę́ę́' tó sik'azii danílíinii doo ádaadįįh da. 
24:18:015:0	Jó, shidine'é shaa dayooznahgo diyin dabidi'níinii éí tsin bijeeh dilidgo łikání halchingo nááhániihii yich'į' deidííłid. T'áá nááshiinídą́'ídi bee na'nitinii yits'ádayiizh'eezhgo t'áá áhoodzaa góne' dah deidiiłkaigo ádił nida'iisíihgo ádayiilaa. Azdolkǫ'go atiinígíí yits'ádayiizh'eezhgo hóchǫ́ǫ́'ógo atiin góne' adayiizh'eezh. 
24:18:016:0	Áko bikéyahgi doo siláhígóó áádóó t'áá áłahjį' diné, Tłehee yéi', daaníi dooleeł biniyé ákódáát'įįd. Éí bąą éí kéyah diné t'ááłá'í nítínígo yą́ą́h nidadikahgo bik'ee t'óó bił adahayóigo bitsiits'iin nidayiigha' doo. 
24:18:002:1	Diné nidahagizii áádóó Jeremáíyah bisodizin
24:18:017:0	Atího'diilyaa bik'íhoolzhiizhgi ha'a'aahdę́ę́' deiyolígíigi át'éego hwe'ana'í dabinááł tahwiidínéeshkał. Shinii' éí doo deizdoołtséeł da, nidi shine'dę́ę́' t'éiyá deizdoołtsééł. 
24:18:018:0	Ákohgo ádaaní, Sołtį', Jeremáíyah bindahodiit'aał, háálá nááda'iiłniihii bee haz'áanii doo bits'ą́ą́' ádoodįįł da, índa dahóyáanii kót'éego daanínígíí doo bits'ą́ą́' ádoodįįł da, áádóó áhodoonííł yaa dahalne'ii saad yaa dahalne'ígíí doo bits'ą́ą́' ádoodįįł da. Haa'íyee' nahóyádadiiltih, áádóó ájíníinii ts'ídá doo deídíilts'įįł da. 
24:18:019:0	Bóhólníihii nílíinii, shíísíníłts'ą́ą́'; shináádiijahígíí ha'át'íí daaní yíníłts'ą́ą́'. 
24:18:020:0	Yá'át'éehii bidiníná doo yá'áshóoniísh aa doolyééł? Jó, shiniyé a'áán ádahoolaa. Béénílniih, t'óó báhádzidígi át'éego bee atí'él'íinii bits'ą́ąjį' kódeeshłííł biniyé yá'át'éehgo bá yáshti' dooleeł biniyé nidááhdóó sézį́į́ nít'éé'. 
24:18:021:0	Éí bąą ba'áłchíní éí dahodidoochįįłígíí baa diní'aah. Diltłish bee adziilii bee nidadootsiłgo baa diní'aah. Bíni'dii be'asdzą́ą́ danilíinii ba'áłchíní bits'ą́ą́' nidaatseedgo bąąh ádahasdįįdgo nidaakai le', áádóó diné yił nidaa'aashii bíni'dii nidaatseed índa bitsí łkéí danilíinii da'ahijigą́ądi diltłish bee nidaatseed le'. 
24:18:022:0	Siláo ła' dah yinééł t'áadoo hooyání béíní'eezhgo dabighandóó bíni'dii chaháá'áago diits'a', háálá dashidiyoołhééł biniyé a'áán ádahoolaa, áádóó łoh biih dideeshtał biniyé shá nideiznil. 
24:18:023:0	Nidi, ni Bóhólníihii nílíinii, dashidiyoołhééł yiniyé kót'éego daaníigo shindahaz'ánígíí t'áá ałtso nił bééhózin. Doo ákwii ádáát'įįdígíí doo bá yóó'adidíí'áał da, índa ádił nida'iisí'ígíí éí nidááhdóó doo k'éé'dííłchǫǫł da, nidi ninááł bik'eh hodidoodleeł. Náhóchįįdgo baa nídíít'įįł.
