54:2:001:1	Nats'ąą Khadigireheejyaa Goo'aii.
54:2:001:0	Tr'ookit, dinjii datthak eenjit gwintł'oo khadagohjii ts'ą' gooveenjit chan neeshraahchy'aa goorooheenjyaa eenjit Vit'eegwijyąhchy'aa jyaa davaiinyąą ts'ą' gooveenjit deehee'yaa datthak eenjit mahsį' vaiinyąą. 
54:2:002:0	Dinjii kįh nilii akwat King nilii nąįį datthak chan, gwinzii tsinehdan ts'ą', deegwiintsai' kwaa gwizhit gwireheendaii eenjit, ąįįts'ą' Vit'eegwijyąhchy'aa vizhit gwireheendaii eenjit. 
54:2:003:0	Jii t'ee łyaa gwinzii ts'ą' Vit'eegwijyąhchy'aa neediinahshii nilii ąįį diineenjit shoo nilii t'oonchy'aa, 
54:2:004:0	juu nąįį datthak neeheezhii ts'ą' łi'deegwidlii gaagoondaii niindhan. 
54:2:005:0	Łyaa Vit'eegwijyąhchy'aa ch'ihłak zhrįh gwanlii, ch'ihłak zhrįh dinjii chan ts'ą' Vit'eegwijyąhchy'aa haa nihłaa nahchik, ąįįt'ee Christ Jesus, 
54:2:006:0	ąįįt'ee dinjii datthak neeheezhii eenjit gwintł'ee adaachįį. Izhit dąį' jii t'ee gwizhrįh nigwiin'ąįį, Vit'eegwijyąhchy'aa jii nankat gwidinjii datthak neeheezhii geenjit. 
54:2:007:0	Ąįįts'ą' jii kwaii geenjit t'ee shirihił'e' ts'ą' Israel nilii kwaa nąįį eenjit geech'ǫąąhtan ihłii, gwik'iinjigwiighit, łi'didlii haa eenjit geech'ǫąąłtan. Oihts'it t'iihnyąą kwaa, łi'haa łi'deegwidlii haa gwaldak t'iihnyąą. 
54:2:008:0	Nijin datthak dinjii khadagoojyaa nihthan, juu khit Vit'eegwijyąhchy'aa eenjit gwitr'it t'agwah'in nąįį ts'ą', juu daganli', haa ndak nagąąhdak ts'ą' gook'įį gwanlii kwaa ts'ą' nihzheedagąąn'ee kwaa haa Vit'eegwijyąhchy'aa haa niilzhii nąįį. 
54:2:009:0	Tr'injaa nąįį chan gwach'aa gwinzii nagoozhi' gavoihnyąą, gookiighai' nidiiltsį' heelyaa kwaa ts'ą' gookat chan gold akwat pearl haa hee kwaa ik daatł'oo chan gookat hee kwaa ji' nihthan. 
54:2:010:0	Gaa googwitr'it gweheezyaa, ąįįt'ee Tr'injaa gwik'iinjiighit gwitr'it nilii. 
54:2:011:0	Tr'injaa nąįį deegoogwahtsai' kwaa ts'ą' ch'agoohaahky'aa, ąįįts'ą' khadak t'igiheechy'aa kwaa. 
54:2:012:0	Tr'injaa nąįį geech'agoahtan gitr'iih'ee ts'ą' dinjii eenjit k'eegogwahaadhat kwaa, deegogwahaatsai' kwaa goo'aii. 
54:2:013:0	Izhit gwik'it Adam tr'ookit tr'iłtsąįį ąįįtł'ęę Eve. 
54:2:014:0	Adam tr'ookit vigwitr'it gwiizųų gwiinli' kwaa. Gaa ąįį tr'injaa tr'ookit vigwitr'it gwiizųų goodlit ts'ą' Vit'eegwijyąhchy'aa va-law łeełnaii. 
54:2:015:0	Gaa tr'injaa vigwik'injigwiighit, vich'eet'igwiniindhan, vashroodiinyaa ts'ą' khainjihil'ee kwaa kwaii datthak khit goontą' ji', ąįį tr'iinin di'įį geh'an neeheezhii.
