33:4:001:1	Nihokáá' t'áá náhwiist'ą́ą́ nít'éé' Bóhólníihii hózhǫ́ǫ́jí yee nant'áa doo
33:4:001:0	Nidi díí ádoonííł nihoogháahjį' yoołkáałgo Bóhólníihii bikin bii' sohodizin bił haz'ánígi dziłígíí éí dził naaznil bighą́ą'di bohoníłdzilgo ádoolnííł; deílk'id biláahgo wódahgo óolzin doo, áko áajį' ał'ąą dine'é yah íílį́į doo. 
33:4:002:0	Áádóó ał'ąą dine'é lą'í nidahidookahgo ádadidooniił, Hágo, Bóhólníihii bidziłghą́ą́'góó hadiikah áádóó Jéíkab biDiyin God bikinjį' diikah, áko yee át'éii yínanihidínóołtįįł áádóó bik'ehgo honít'i'ii deíníikáah doo, háálá Záíyandóó bibee haz'áanii ch'íhwiileeh doo áádóó Jerúsalemdóó Bóhólníihii bizaad ch'íhwiileeh doo. 
33:4:003:0	Índa ał'ąą dine'é lą'í bitahgóó ánihwii'aahii nilį́į doo áádóó danízaadę́ę́' ał'ąą dine'é yá nihodidoo'ááł, áko dabidiltłish bee nihwiildlaadí bitsiits'iin ádadoolnííł índa bitsii'dadétáán éí tsin bits'áoz'a' bee higéshí ádadoolnííł biniyé nídadootsił; dine'é éí náánáła' dine'é yich'į' doo dabidiltłish de ánáádeidoodlíił da, doo nidi anaa' yínáádahwiidooł'áał da. 
33:4:004:0	Áko diné t'ááłá'í jinítínígo t'áá hó hach'il na'atł'o'ii índa hatsin fig sikaadii biyaagi nidadzíiztą́ą doo, áádóó doo ła'da hoł yéé' áhodoolíił da, háálá t'áá ałtsoní bee Bóhólníihii yee haadzíí'. 
33:4:002:1	Ízrel dine'é bidisnáádę́ę́' yisdáhidookah
33:4:005:0	Azhą́ dadine'é t'áá ałtso t'áá bí bidiyin dabidi'níinii yik'ehgo deíkáah nidi, nihí éí Bóhólníihii nihiDiyin God bízhi' dadíníilzinii bee deíníikáahgo ahool'áágóó ahóyéel'áa doo. 
33:4:006:0	Éí bijį́ nida'niłhodii áłah ádeeshłííł áádóó yóó'adabidi'neeskaadii índa atídeishłaii áłah ádeeshłííł, ní Bóhólníihii; 
33:4:007:0	nida'niłhodii éí yidziihígíí danilį́įgo áhodeeshłííł, áádóó nízaadgóó adahodi'neeskaadii dine'é bidziilgo dah yikahii áhodeeshłííł; náás hoolzhishgóó Dził Záíyandóóígíí Bóhólníihii hool'áágóó honant'áa doo. 
33:4:008:0	Áádóó ni, dibé baa áháyą́ biniyé kin yaa'áhí nílíinii, Záíyan bich'é'é yine' naadzi'ii nílíinii, díí áłtséédą́ą́' óhólníihii bił naa hodoolzhish; Jerúsalem bich'é'é bee bóhólníih dooleełii baa hodoolzhish. 
33:4:009:0	K'ad ha'át'íísh biniyé yéego nicha? Da' ninanit'a'íísh ádin? Da' kót'é niłníiniísh ádingo biniinaa asdzání awéé' bídii'na'ígi át'éego nił honiigai? 
33:4:010:0	Záíyan bich'é'é nílíinii, asdzání awéé' bí'nahígi át'éego bíni'dii nił honeezgai, háálá k'ad kin haal'áádóó hadíínáałgo halgaidi kééhót'į́į doo, áádóó Bábilan kéyahgóó díínááł; áadi yisdándi'dooltééł índa áadi ni'ana'í bílák'eedóó Bóhólníihii háándoołtééł. 
33:4:011:0	K'ad ał'ąą dine'é nik'ijį' danilį́įgo áłah silį́į'go ádaaní, Bíni'dii ho'dilchǫǫh, áádóó nihí haats'ííd daniidzingo Záíyan dahoníil'į́į doo. 
33:4:012:0	Nidi Bóhólníihii bintsékees doo hoł béédahózin da, doo nidi binahat'a' bik'idazhdiitįįh da; tł'oh naadą́ą́' habé'él'éesjį' ahaniheeshjool nahalingo áłah áhodoolííł. 
33:4:013:0	Záíyan bich'é'é nílíinii, nídiidááh áádóó ha'í'íł'éés; jó, béésh nitł'izii nidee'go índa béésh łitsoii nikee'go ándeeshłííł, áko lą'í diné nihidííłhał áádóó há ída'iidélígíí índa hanaalye'é danilíinii éí nahasdzáán t'áá át'é biBóhólníihii bá ats'ádideesh'ááł.
